date,quote_date,period,group,p,pWd,pWs,infl,inflW
1,198802,1988-2022,Bottom,1048.583313720922,0,8.55039587586119,0,0
1,198802,1988-2022,Middle,1473.69890700529,0,12.23615994715025,0,0
1,198802,1988-2022,Top,2061.493767899772,0,17.11912055858071,0,0
2,198803,1988-2022,Bottom,1064.407780617476,0,8.666828541756937,0,0
2,198803,1988-2022,Middle,1479.390277020633,0,12.27543206999204,0,0
2,198803,1988-2022,Top,2028.579009798666,0,16.90712455866985,0,0
3,198804,1988-2022,Bottom,1079.023389992615,0,8.800838208759766,0,0
3,198804,1988-2022,Middle,1499.895886398852,0,12.46489854499669,0,0
3,198804,1988-2022,Top,2094.80969320486,0,17.42123831607993,0,0
4,198805,1988-2022,Bottom,1085.573579589526,0,8.838513397109637,0,0
4,198805,1988-2022,Middle,1504.824070759118,0,12.51317313613496,0,0
4,198805,1988-2022,Top,2088.738210933904,0,17.35182242736967,0,0
5,198806,1988-2022,Bottom,1085.508583525817,0,8.839863415732301,0,0
5,198806,1988-2022,Middle,1524.365370206535,0,12.67039998549202,0,0
5,198806,1988-2022,Top,2136.066519605617,0,17.74387759390568,0,0
6,198807,1988-2022,Bottom,1073.972958197196,0,8.782010268403004,0,0
6,198807,1988-2022,Middle,1500.034357684354,0,12.46749927404502,0,0
6,198807,1988-2022,Top,2095.288329072297,0,17.4275782274514,0,0
8,198809,1988-2022,Bottom,1116.029482424259,0,9.141621037805939,0,0
8,198809,1988-2022,Middle,1559.705362764498,0,12.98130007401778,0,0
8,198809,1988-2022,Top,2176.068596335749,0,18.06237317073828,0,0
9,198810,1988-2022,Bottom,1113.211741141975,0,9.131268174700381,0,0
9,198810,1988-2022,Middle,1562.636160090566,0,12.98424662216227,0,0
9,198810,1988-2022,Top,2194.180065172414,0,18.24642982437945,0,0
10,198811,1988-2022,Bottom,1135.137129162749,0,9.310289383092217,0,0
10,198811,1988-2022,Middle,1562.581920951605,0,12.98270713447952,0,0
10,198811,1988-2022,Top,2177.611402757466,0,18.09833473096417,0,0
11,198812,1988-2022,Bottom,1134.220923227568,0,9.327633083354158,0,0
11,198812,1988-2022,Middle,1572.854143515229,0,13.07983064968963,0,0
11,198812,1988-2022,Top,2203.605110096435,0,18.31263702032205,0,0
12,198901,1988-2022,Bottom,1107.005207657814,0,9.086703385354971,0,0
12,198901,1988-2022,Middle,1578.627024360001,0,13.13210408437347,0,0
12,198901,1988-2022,Top,2240.295000818869,0,18.56649462639325,0,0
14,198903,1988-2022,Bottom,1137.522742725909,0,9.40140637356914,772.4497043760493,.0764930216899605
14,198903,1988-2022,Middle,1633.849043083688,0,13.62182772722493,846.8739851765955,.0781490903412608
14,198903,1988-2022,Top,2278.23523564885,0,18.97513396880095,841.229410735347,.079750550442327
15,198904,1988-2022,Bottom,32.9485271970431,0,.2867022542947477,163.1720532818387,.0129363345956032
15,198904,1988-2022,Middle,37.11216850827137,0,.3245382659685371,189.3472047522664,.014794296192728
15,198904,1988-2022,Top,42.36522561063369,0,.3749830397743305,213.8695536802212,.0177654691300025
16,198905,1988-2022,Bottom,1162.76246504734,0,9.609468227264491,833.0717021065842,.0791267416266995
16,198905,1988-2022,Middle,1650.826640444497,0,13.79190887019164,880.5495706774915,.0807422210975422
16,198905,1988-2022,Top,2334.63061016053,0,19.50702428910154,855.0303171211757,.0808722367691246
17,198906,1988-2022,Bottom,1180.985230478148,0,9.759373893304049,826.0296746079499,.0753431024274202
17,198906,1988-2022,Middle,1658.543396236996,0,13.8506013536365,812.5103354279418,.07125799238338
17,198906,1988-2022,Top,2350.985291528205,0,19.60836520010344,781.564204597089,.072085664681102
18,198907,1988-2022,Bottom,1167.989913021525,0,9.637716711918378,864.8228012335798,.07296127883122
18,198907,1988-2022,Middle,1620.318216380974,0,13.53203941958539,794.226620796447,.0706872929660373
18,198907,1988-2022,Top,2294.699442870915,0,19.16836364749421,847.3597583312463,.0785062520449931
19,198908,1988-2022,Bottom,1178.441347246369,0,9.708775173943044,0,0
19,198908,1988-2022,Middle,1646.196294623117,0,13.78580933317911,0,0
19,198908,1988-2022,Top,2297.123679680129,0,19.19077533285599,0,0
20,198909,1988-2022,Bottom,1188.937982010345,0,9.809721164065801,853.5781346959993,.0751278986273671
20,198909,1988-2022,Middle,1664.626498716573,0,13.95194158675925,828.0304089198277,.073259013683393
20,198909,1988-2022,Top,2307.832855738699,0,19.2933332149017,859.5364840778833,.0769147155964826
21,198910,1988-2022,Bottom,1204.983467636009,0,9.948779018658874,877.7101422427222,.0746905423643511
21,198910,1988-2022,Middle,1698.76366448154,0,14.22800219831212,834.5674446907651,.0744716124923457
21,198910,1988-2022,Top,2328.345739804208,0,19.47142160280297,801.4660991802278,.0739543866075299
22,198911,1988-2022,Bottom,1215.186354028682,0,10.03437377077595,852.7816295224815,.0727492372253285
22,198911,1988-2022,Middle,1720.384649160008,0,14.39921663583179,825.1601484167622,.0737510849118432
