item_id,description,division,spanYears,year,up,down,level,all,up12,down12,level12,all12,up_ch_median,down_ch_median,up_ch12_median,down_ch12_median,up_ch_mean,up_ch12_mean,down_ch_mean,down_ch12_mean,up_sh,down_sh,up_sh12,down_sh12,group,yearMax,rankRise,rankRiseLatest,inflationRank,up_sh12_longRun,up_ch12_longRunMean
320122,20 FILTER - OTHER BRAND,2,15,2022,155,29,1167,1351,1114,24,6,1144,.01923077,-.0098039303,.05387754,-.079527579,.02091568,.061048284,-.022607509,-.069682665,.11472983,.021465581,.97377622,.020979021,202,2022,5,5,5,.97510606,.067009479
320205,5 CIGARS: SPECIFY BRAND,2,35,2022,119,43,996,1158,961,30,5,996,.01449274,-.015471186,.093797259,-.20625003,.03385089,.10286529,-.040551022,-.2223096,.10276338,.03713299,.96485943,.030120483,202,2022,7,7,7,.95742089,.065168411
430527,A4 PRINTER PAPER (500 REAM),9,15,2022,257,44,1033,1334,901,70,258,1229,.14306152,-.2,.14306152,-.16666667,.1689083,.22514257,-.17410307,-.21673825,.19265367,.032983508,.73311633,.056956876,905,2022,109,109,109,.3403216,.20722604
630377,ACTION CAMERA,9,5,2022,87,73,696,856,258,216,144,618,.17073588,-.18127571,.64676476,-.1193063,.43509221,1.4957666,-.23924725,-.20287561,.10163552,.085280374,.41747573,.34951457,901,2022,436,436,436,.36375052,.83905971
620318,ADULT BIKE,7,18,2022,227,123,1550,1900,909,240,250,1399,.11111728,-.15384616,.18370371,-.12403977,.16286604,.28190312,-.14823526,-.18387042,.11947368,.064736843,.64974982,.17155111,701,2022,184,184,184,.48248416,.24038272
430505,ALUMIN COOKING FOIL 290-300MM,5,35,2022,264,28,798,1090,686,115,126,927,.091324218,-.10497738,.25000003,-.16666667,.1317157,.32332969,-.12059791,-.23213957,.24220183,.025688073,.74002159,.12405609,506,2022,102,102,102,.45358619,.23388189
430617,ANIMAL CAGE (E.G FOR GERBIL),9,21,2022,69,55,774,898,267,89,423,779,.14289796,-.15000001,.16666667,-.23214285,.18186742,.26639235,-.17462869,-.22704959,.076837413,.061247215,.34274712,.11424904,903,2022,509,509,509,.35437915,.26167598
430621,ANNUAL BOOSTER INJECTION,9,20,2022,155,16,1347,1518,1038,68,181,1287,.08996594,-.041095361,.1,-.14492753,.11334227,.13708533,-.10562509,-.16266085,.10210804,.010540185,.80652678,.052836053,903,2022,58,58,58,.56347197,.072496854
520245,ANTIHISTAMINE ALLERGY TABLETS,6,13,2022,180,135,1531,1846,453,183,1037,1673,.375,-.27272728,.16666667,-.18181819,.29671499,.38292837,-.27456209,-.15478846,.097508125,.073131092,.27077106,.10938434,601,2022,563,563,563,.30192384,.38099256
310221,APPLE CIDER 4 CAN PK 440-500ML,2,6,2022,296,122,1776,2194,788,242,960,1990,.071428619,-.074999988,.071428575,-.0625,.081803277,.092280097,-.091404021,-.10249113,.1349134,.055606198,.39597991,.12160804,201,2022,461,461,461,.36201373,.12463707
212716,APPLES-COOKING-PER KG,1,35,2022,155,51,1970,2176,1055,61,450,1566,.13636364,-.24285711,.13636364,-.12531328,.2253627,.22642526,-.23412697,-.14192222,.071231619,.0234375,.67369092,.038952745,101,2022,166,166,166,.4360984,.19793469
212717,APPLES-DESSERT-PER KG,1,35,2022,249,82,2221,2552,812,167,724,1703,.12666671,-.25125629,.16722408,-.11834322,.15929668,.19973376,-.21829392,-.14109188,.097570531,.032131661,.47680563,.09806224,101,2022,366,366,366,.46142629,.20961542
430104,ARMCHAIR -UPHOLSTERED,5,35,2022,339,230,1526,2095,984,274,305,1563,.12782148,-.19542149,.1627907,-.18998608,.19343971,.27318826,-.18113112,-.22688985,.16181384,.1097852,.62955856,.17530391,501,2022,199,199,199,.48205683,.25245938
212710,AVOCADO PEAR-EACH,1,34,2022,558,386,2708,3652,1334,842,623,2799,.16807911,-.20000005,.11111114,-.16666667,.28157249,.23564483,-.23123698,-.18959591,.15279299,.10569551,.4765988,.30082172,101,2022,367,367,367,.39671186,.30404639
510330,BABY SLEEPSUIT LONG SLEEVE,3,21,2022,294,198,2221,2713,830,663,624,2117,.2,-.2,.11111111,-.2,.26012754,.32211736,-.23900546,-.25462234,.10836712,.072981939,.39206424,.31317902,301,2022,468,468,468,.31306785,.42990905
520249,BABY WIPES 50-85,12,11,2022,330,209,1530,2069,1058,516,324,1898,.22222228,-.34108523,.18749997,-.14999998,.30199704,.27373198,-.28354648,-.21914656,.15949734,.10101499,.5574289,.27186513,1201,2022,282,282,282,.30382255,.3158403
210808,BACON-BACK-PER KG,1,27,2022,443,146,1647,2236,1222,179,367,1768,.073333316,-.053116947,.11663066,-.094339624,.10983004,.16299069,-.094870001,-.1175691,.19812165,.065295167,.69117647,.10124435,101,2022,147,147,147,.40243769,.14580159
210802,BACON-GAMMON-PER KG,1,35,2022,217,111,1480,1808,752,171,484,1407,.1,-.090909109,.1,-.17667845,.12387152,.14305466,-.11794113,-.1815189,.12002213,.061393805,.5344705,.12153518,101,2022,306,306,306,.43365341,.15811139
212603,"BAKED BEANS, 400-425G TIN",1,35,2022,577,133,2768,3478,2761,58,266,3085,.17647055,-.14999998,.32352936,-.24137929,.19022724,.30655897,-.15725476,-.28077,.16589995,.038240369,.89497566,.018800648,101,2022,19,19,19,.5038293,.14233308
430424,"BAKEWARE, METAL, TRAY/ROASTING",5,4,2022,416,279,1977,2672,1225,933,242,2400,.22086956,-.2,.20080321,-.33333334,.26118773,.29449975,-.22910956,-.36508068,.15568863,.10441617,.51041669,.38874999,504,2022,332,332,332,.42189839,.45474306
