description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
CD ALBUM (TOP 40),1,.37380955,.11111111,.083333336,630230,11,1,6,2,6,0,0,.083333336,-.13257577,.33571431,,-.15530303,,9,.66666669,6,0,9,901,2024,2,1,.66000003,.055000003,.24671431,1,241,555,2,128,469,,203,133,417,433,.18764541,.35451135,47,
CIGARETTES 15,1,.14022776,.17117117,.059436444,320115,13.3,19,3,89,101,0,0,.053941876,-.048872221,.13675217,,-.045605034,,111,.027027028,101,0,2,202,2024,2,1,4.7600002,.2829175,.66748416,2,143,550,378,436,511,,20,17,100,433,.21351193,.027509008,274,
HAND ROLLING TOBACCO PACK 30GM,.9909091,.22388376,.35537189,.057938199,320206,22.5,43,8,70,109,1,0,.023513149,-.077564538,.21293806,-.0097561348,-.074177973,-.0097561348,121,.0661157,110,.0090909088,2,202,2024,2,1,1.7,.09849494,.38060242,3,22,545,257,268,512,1,52,68,315,433,.2054632,.034622069,130,515
20 FILTER - OTHER BRAND,.99074072,.17024359,.27500001,.022962982,320122,15.44,33,4,83,107,1,0,.025974063,-.040633496,.17568626,-.067022093,-.035308693,-.067022093,120,.033333335,108,.0092592593,2,202,2024,2,1,4.0799999,.093688965,.69459385,4,50,544,354,366,540,17,11,16,328,433,.21754347,.025473462,190,465
CIGARETTES 8,.99074072,.15121686,.73333335,.031740144,320108,17.059999,88,4,28,107,1,0,.029894505,-.093989871,.1507403,-.19365081,-.12767588,-.19365081,120,.033333335,108,.0092592593,2,202,2024,2,1,5.7800002,.18345805,.87403351,5,2,543,355,407,533,264,143,12,172,433,.24233554,.022507481,236,196
5 CIGARS: SPECIFY BRAND,.98888886,.1067705,.019607844,.0351515,320205,8.25,2,5,95,89,1,0,.0351515,-.037974708,.095617503,-.04494378,-.041395798,-.04494378,102,.049019609,90,.011111111,2,202,2024,2,1,.17,.0059757549,.018150985,6,495,539,301,501,532,5,14,540,539,433,.21381365,.027426591,392,500
OLIVE OIL - 500ML - 1 LITRE,.98461539,.35974574,.35922331,.12665345,211408,6.5,74,13,119,192,2,1,.11874998,-.23529412,.39285713,-.22058825,-.22859058,-.22058825,206,.063106798,195,.010256411,1,101,2024,2,1,.81,.10258929,.29139405,7,20,541,269,140,390,326,363,106,307,433,.14455797,.32336539,32,149
FORTIFIED WINE  (70-75CL),.96753246,.2203245,.0053191488,.22222222,310406,12.99,1,8,179,149,3,2,.22222222,-.14814815,.20588236,-.28301886,-.14189179,-.31908709,188,.04255319,154,.019480519,2,201,2024,2,1,.31999999,.071111113,.070503838,8,538,529,317,272,259,498,168,416,379,433,.16485092,.13692506,135,83
INDIGESTION TABLETS 16-24 PACK,.95999998,.14020431,.05982906,.096752405,520202,2.8499999,7,2,108,48,1,1,.080321305,-.055762112,.090909094,-.28750002,-.055762112,-.28750002,117,.017094018,50,.02,6,601,2024,2,1,.89999998,.087077163,.12618388,9,359,527,435,437,446,459,30,303,342,433,.097710893,.12999529,410,78
WHISKY-70 CL BOTTLE,.94047618,.11097246,.13725491,.11546781,310401,17.75,14,8,80,79,2,3,.096774191,-.11764706,.075757578,-.090073526,-.12336681,-.090073526,102,.078431375,84,.023809524,2,201,2024,2,1,1.3,.15010814,.14426419,10,190,519,225,494,413,41,134,275,224,433,.20462194,.12126856,464,425
CANNED SWEETCORN 198-340G,.93684208,.17544615,.0049751243,.14285718,212608,1,1,3,197,178,11,1,.14285718,-.090909109,.11111114,-.14772727,-.10658308,-.18976253,201,.014925373,190,.057894737,1,101,2024,2,1,.13,.018571433,.022807999,11,539,463,445,351,358,254,102,534,511,433,.089320764,.12381648,331,283
CIDER FLAVOURED BOTT 500-568ML,.93650794,.10134436,.015228426,.16149174,310222,2.5,3,7,187,177,7,5,.07806693,-.14814818,.068181753,-.041666724,-.15335791,-.050399631,197,.035532996,189,.037037037,2,201,2024,2,1,.47999999,.077516034,.048645291,12,506,494,345,517,332,9,198,463,361,433,.07925427,.16360012,489,504
APPLE CIDER 4 CAN PK 440-500ML,.92647058,.12285253,.032558139,.068478577,310221,4.8499999,7,16,192,189,10,5,.1,-.041841064,.071428619,-.041841064,-.055758782,-.049409386,215,.074418604,204,.049019609,2,201,2024,2,1,.47999999,.032869715,.058969211,13,457,472,236,474,492,8,29,444,474,433,.12420437,.10202035,476,502
FUNERAL-CREMATION,.92413795,.086020477,.20068027,.035905112,440227,3261.5,59,5,230,268,14,8,.026436377,-.013207547,.061459839,-.048615851,-.04651675,-.087279804,294,.017006803,290,.048275862,12,1207,2024,2,1,2.0899999,.075041682,.17978279,14,100,475,436,537,530,39,21,213,370,433,.10814092,.057913605,502,492
VEGETABLE PICKLE 280-520G,.92090398,.18907996,0,,212905,2,0,1,197,163,3,11,,-.16666667,.14285715,-.085106306,-.16666667,-.14785592,198,.005050505,177,.016949153,1,101,2024,2,1,.13,,.024580393,15,561,533,506,329,,157,226,532,,433,.11095135,.14403251,255,432
PREMIUM LAGER - PINT 4.3-7.5%,.91071427,.082023114,.27000001,.056696221,310110,5.25,54,4,142,153,6,9,.039348818,-.10416668,.074879214,-.085705481,-.10788223,-.11109442,200,.02,168,.035714287,11,1101,2024,2,1,4.3499999,.24662855,.35680053,17,53,496,416,542,513,84,104,79,121,433,.11341383,.038061142,468,430
SMALL CAGED MAMMAL,.90769231,.11734463,0,,430623,11,0,1,74,59,0,6,,-.083333336,.1,,-.083333336,,75,.013333334,65,0,9,903,2024,2,1,.40000001,,.046937853,18,558,552,455,480,,,67,470,,433,.039282694,.1557194,373,
SPEC'Y BEER BOTT 500ML 4-5.5,.90721649,.12826361,.10628019,.071520403,310220,2,22,14,171,176,8,10,.043478325,-.1666667,.11111114,-.14270335,-.18436855,-.14963566,207,.067632847,194,.041237112,2,201,2024,2,1,.80000001,.057216324,.10261089,19,250,485,253,465,487,162,277,347,410,433,.091046564,.1971696,328,293
BISCUITS HALF CHOC 260-400G,.90052354,.2198112,.29577464,.25430703,210323,1.9,63,21,129,172,15,4,.26666665,-.11111111,.25,-.23076925,-.15709908,-.23293683,213,.098591551,191,.078534029,1,101,2024,2,1,.68000001,.17292878,.14947163,20,38,429,200,273,221,356,204,261,182,433,.19690153,.41221303,99,135
CREAM CRACKERS PACK 200G-300G,.89473683,.17452033,0,,210301,1.3,0,0,125,51,2,4,,,.13333337,-.3710407,,-.3710407,125,0,57,.03508772,1,101,2024,2,1,.68000001,,.11867382,21,554,497,529,356,,525,,318,,433,.08476948,.13762447,285,30
STOUT - 4 CAN PACK,.88484848,.14144249,.030927835,.091612443,310219,5.75,6,36,152,146,12,7,.098077789,-.079999998,.15000001,-.625,-.077126391,-.625,194,.18556701,165,.07272727,2,201,2024,2,1,.34999999,.032064356,.049504872,23,462,443,71,434,458,547,62,461,477,433,.1499266,.14472128,240,6
RUM WHITE EG BACARDI 70CL BOTT,.87368423,.079744324,.009708738,.050420187,310427,16,2,31,173,166,18,6,.050420187,-.14285715,.071428575,-.0031250119,-.12193711,-.065348081,206,.15048544,190,.094736844,2,201,2024,2,1,.5,.025210094,.039872162,24,523,403,111,544,519,16,131,488,497,433,.22008511,.18205796,480,517
BRAND CHOC SWEETS 90-185G BAG,.87261146,.17430139,.48369566,.11315828,212223,1.65,89,20,75,137,10,10,.099999987,-.083333321,.2,-.099508606,-.12368312,-.14893833,184,.10869565,157,.063694268,1,101,2024,2,1,.60000002,.067894973,.10458083,25,8,457,175,357,415,161,135,345,387,433,.15994096,.5552547,150,403
FIZZY BOTTLED DRINK 500ML,.872549,.10406032,.042735044,.15839875,212017,1.75,5,4,108,89,4,9,.091743141,-.079002097,.062500015,-.070634887,-.075828552,-.10087298,117,.034188036,102,.039215688,1,102,2024,2,1,1.1900001,.18849452,.12383179,26,415,491,349,506,337,64,59,309,166,433,.10201555,.12633967,499,458
GIN BOTTLE 70CL,.87128711,.13102192,.1273585,.18880753,310429,17.75,27,15,170,176,22,4,.2,-.13043478,.094494045,-.13043478,-.1298231,-.15604088,212,.070754714,202,.10891089,2,201,2024,2,1,.94999999,.17936715,.12447082,27,204,386,248,459,290,175,148,307,176,433,.21413998,.16782847,393,318
MAYONNAISE 390-500G/420-540MLS,.86250001,.15234803,.064516127,.19333333,212930,2.49,12,6,168,138,3,19,.2,-.058490597,.11769234,-.27083337,-.14882931,-.30198416,186,.032258064,160,.018750001,1,101,2024,2,1,.40000001,.077333331,.060939211,28,339,530,358,405,286,478,186,438,363,433,.13167471,.28464893,313,98
ANNUAL BOOSTER INJECTION,.86131388,.17255341,.039215688,.1060458,430621,61,6,2,145,118,3,16,.096371882,-.0080025289,.141148,-.02631579,-.0080025289,-.026464587,153,.013071896,137,.02189781,9,903,2024,2,1,1.5,.1590687,.2588301,29,430,522,458,360,425,2,4,124,208,433,.06685327,.06590642,269,509
RESTAURANT MAIN COURSE,.85972852,.11132921,.10080645,.037967917,220128,15.125,25,4,219,190,9,22,.021505391,-.13156593,.097619042,-.05882353,-.1115501,-.11095794,248,.016129032,221,.040723983,11,1101,2024,2,1,4.3499999,.16516043,.48428205,30,266,488,439,493,529,83,112,37,198,433,.10426158,.069874473,386,478
BOOK - FICTION - HARD COVER,.85840708,.31696162,.34848484,.62747401,630435,16,46,5,81,97,15,1,.555336,-.27272728,.22222222,-.26617745,-.31272727,-.25982067,132,.037878789,113,.13274336,9,905,2024,2,1,.12,.075296879,.038035393,31,23,356,336,171,26,413,465,495,369,433,.28394842,.30419132,123,104
VODKA-70 CL BOTTLE,.85310733,.13160047,.014084507,.029681168,310403,16,3,56,154,151,22,4,.019607844,-.1388889,.10708267,-.17863162,-.17860676,-.17863162,213,.26291078,177,.12429378,2,201,2024,2,1,1.3,.038585518,.1710806,32,512,368,32,458,535,236,261,228,467,433,.19200176,.10354816,353,216
"HAT/CAP, ADULT",.85207099,.76035285,.21256039,.51078957,510434,8,44,46,117,144,14,11,.65615135,-.16961537,.69047618,-.26544374,-.28284678,-.35814095,207,.22222222,169,.082840234,3,301,2024,2,1,1.15,.58740801,.87440574,33,93,421,45,23,59,518,440,11,17,433,.148541,.39912334,9,106
FISH & CHIPS TAKEAWAY,.85135138,.12759861,.06818182,.095827155,220301,9.5,6,0,82,63,1,10,.052482184,,.11578951,-.15384616,,-.15384616,88,0,74,.013513514,11,1101,2024,2,1,1.74,.16673926,.22202159,34,334,536,540,467,449,172,,152,195,433,.090258382,.058945652,315,269
VODKA (PER NIP) SPECIFY ML,.85057473,.091759846,.25365853,.027972121,310302,4.0999999,52,5,148,148,8,18,.020454472,-.14502162,.066228107,-.095636427,-.11424931,-.11827733,205,.024390243,174,.045977011,11,1101,2024,2,1,5.2199998,.14601447,.47898638,35,63,480,393,528,537,99,118,40,235,433,.10338549,.052952245,497,408
