description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id
MILK SEMI-PER 2 PINTS/1.136 L,1,.4001497,.016393442,.20347768,211710
BUTTER 250G SPEC COO,1,.30950475,.10454545,.042795822,211306
FISH & CHIPS TAKEAWAY,1,.21385342,.095238097,.12471868,220301
ROTISSERIE CHICKEN [WHOLE],1,.19509342,.035714287,.092437007,210913
SHOP MILK-WHOLE MILK-4PT/2LTR,.99541283,.38694388,.071428575,.24602079,211709
OLIVE OIL - 500ML - 1 LITRE,.99502486,.52525842,.37378642,.16931146,211408
WHITE SLICED LOAF BRANDED 750G,.99159664,.30168787,.1221374,.067377679,210111
WHOLEMEAL SLICED LOAF BRANDED,.99122804,.29809034,.10344828,.05412012,210113
HARD REGIONAL CHEESE PER KG,.9910714,.47949094,.23966943,.056138363,211509
SUGAR -GRANULATED-WHITE-PER KG,.99078339,.4489809,.38461539,.067830607,212101
CREAM CRACKERS PACK 200G-300G,.99065423,.48494732,.63636363,.11022003,210301
CHICKEN KIEV 2 PACK 240-325G,.98857141,.24444796,.2173913,.1774313,211026
LARGE LOAF-WHITE-UNSLICED-800G,.98461539,.16069916,0,,210102
FROZEN BREAD/BAT FISH 400-550G,.98453611,.39161834,.28494623,.30922598,211211
CANNED SOUP-390-425G,.98305082,.5386712,.10852713,.13605638,212910
TOMATO KETCHUP BOTTLE 340-570G,.98275864,.39954489,.15508021,.23652859,212917
WHOLE SPONGE CAKE NOT FROZEN,.98076922,.31438345,.30973452,.28457665,210320
FROZ CHICKEN NUGGETS 220-600G,.97560978,.50583464,.095744684,.15080298,211019
H K LIVER PER KG STATE TYPE,.97368419,.35931379,.048780486,.047619119,211027
POWDERED BABY FORMULA 400-900G,.97350991,.13995183,.30319148,.080230847,211816
JOINT OV/READ GAM/POR 450-900G,.97222221,.12144901,.5390625,.069526874,211025
APPLE CIDER 4 CAN PK 440-500ML,.97087377,.12854151,.10550459,.078347407,310221
"BAKED BEANS, 400-425G TIN",.97029704,.40811175,.079754598,.076348729,212603
CANNED SWEETCORN 198-340G,.96832579,.24227372,.12992126,.086760543,212608
DRY SPAGHETTI OR PASTA 500G,.96634614,.28834084,.0521327,.26666665,210204
DOG FOOD-CAN-385-400GM,.96571428,.33308327,.092682928,.19207048,430613
CHEDDAR-HOME PRODUCED PER KG,.96396399,.52462941,.31007752,.10515023,211501
FRESH/CHILLED CHICKEN  PER KG,.95555556,.2556577,.2012987,.098099768,210905
FRESH VEG-LETTUCE-ICEBERG-EACH,.95049506,.42739218,.12615384,.32514569,212511
"FLAVRD TEA 15-20 BAGS, 30-40G",.94897962,.2838085,.045000002,.23826726,211905
KITCHEN ROLL PK OF 2-4 SPECIFY,.94791669,.51649016,.15652174,.17773238,430533
CIGARETTES 15,.9464286,.065813482,.061068702,.066436589,320115
CIGARETTES 8,.94594592,.041334026,.23622048,.015638616,320108
FRESH VEG-CUCUMBER-WHOLE,.94576269,.56876916,.21590909,.26902574,212510
T'AWAY COOKED SAVOURY PASTRY,.9453125,.15310977,.063218392,.079203047,220327
YOGHURT-SMALL INDIVIDUAL,.93965518,.36650196,.089430891,.21633281,211814
HAND ROLLING TOBACCO PACK 30GM,.93805307,.079003043,.10606061,.061842278,320206
INDIVIDUAL MEAT PIE,.9375,.37433535,.19161677,.21135175,211011
CIDER FLAVOURED BOTT 500-568ML,.93518519,.096352257,.20614035,.053181112,310222
FRESH WHITE FISH FILLETS KG,.93258429,.21617615,.1882353,.080705836,211101
CHILLED PIZZA EACH 300-600G,.93170732,.49669215,.12727273,.33436179,212939
FRESH VEG-CAULIFLOWER-EACH,.93127149,.33947685,.069306932,.35653651,212504
JAR OF JAM-340-454G,.92792791,.27807391,.033898305,.15520093,212106
POTATO CRISPS-MULTI-PACK,.92708331,.29151091,.11411411,.14115457,212404
CHOCOLATE COVERED ICE CREAM,.92631578,.23659286,.22142857,.2596435,212938
CHILLED READY MEAL-MEAT-SERVS1,.92523366,.2454726,.21238938,.048671823,212936
FRZN READY-COOKD MEAL SERVES 1,.91860467,.30803832,.19,.17383434,212918
CANNED MEAT-STEWED STEAK,.91860467,.19530624,.23300971,.13287041,211007
KITCH BASE UNIT WIDTH 800-1000,.91752577,.3782905,.1724138,.14413151,430119
RESTAURANT MAIN COURSE,.91732281,.15959738,.12578617,.073827937,220128
HOT CHOCOLATE DRINK INSTANT,.91719747,.3659122,.2137931,.19222037,213005
CHOCOLATE 12,.9130435,.27587089,.23566879,.17078924,212226
QUICHE 340G-450G,.91176468,.26489031,.080188677,.10273181,212941
A4 PRINTER PAPER (500 REAM),.90909094,.36522532,.058333334,.13754299,430527
TEA BAGS-2-PACKET OF 240,.90909094,.35825545,.28301886,.14684524,211904
DRAUGHT STOUT PER PINT,.90860218,.09172146,.21484375,.046381738,310104
POTATO CRISPS 25G-50G,.90804595,.14743571,.16923077,.094363548,212402
CHILLED READY MEAL-FISH/VEG,.90721649,.23203109,.15686275,.044654634,212937
TAKEAWAY COFFEE LATTE,.90604025,.12612887,.12206573,.059457719,220321
PREMIUM LAGER - PINT 4.3-7.5%,.90555555,.1183756,.2310757,.043552652,310110
FIZZY ENERGY DRINK 250-500ML,.90434784,.15316615,.14166667,.080235943,212015
GAS COOKERS-SPECIFY MAKE & MOD,.90217394,.14128339,.37719297,.083708316,430414
CERAMI TILES 15X15-25X50CM BOX,.90109891,.54634136,.054054055,.30971596,410637
TAKEAWAY SOFT DRINK,.8977778,.13340001,.080459774,.1054229,220320
CHOCOLATE LARGE BAR 100-200G,.89610392,.23430455,.2754491,.29808474,212225
FRESH VEG-PEPPERS -LOOSE OR KG,.89558232,.52443987,.56944442,.24309182,212532
KEBAB- TAKEAWAY,.89552242,.16733593,.063829787,.11539468,220323
FROZEN FISH FINGERS 8-12 PK,.89268291,.27623478,.23369566,.32672939,211210
CAT FOOD POUCH-IND-85G-100G,.89108908,.2687003,.27102804,.20726715,430624
FLAVOURED WATER BOTT 900ML-1.5,.8901099,.17408708,.20379147,.11225565,212024
TAKEAWAY CHICKEN & CHIPS,.88732392,.19529913,.10309278,.18583502,220326
LAGER - PINT 3.4-4.2%,.88524592,.10042533,.1953125,.054715518,310109
WALLPAPER PER ROLL,.884058,.20169637,.16129032,.10916376,410629
PACK OF 5-6 INDIVIDUAL CAKES,.88172042,.46569559,.35454544,.25811622,210321
READY-MIXED FILLER-INT USE,.87628865,.21147853,.25961539,.061178546,410602
DISHWASHER TABLETS PACK 16-45,.87619048,.1734657,.1554054,.1419844,430538
