prices,obs,date,region
3548,51065,1988-02-01,Wales
4237,51065,1988-02-01,South West
2189,51065,1988-02-01,Northern Ireland
4681,51065,1988-02-01,Scotland
4368,51065,1988-02-01,Yorkshire & Humber
4307,51065,1988-02-01,East Midlands
5635,51065,1988-02-01,South East
3939,51065,1988-02-01,North
4816,51065,1988-02-01,West Midlands
6058,51065,1988-02-01,North West
3194,51065,1988-02-01,East Anglia
2680,51065,1988-02-01,London
3139,49987,1988-03-01,East Anglia
4111,49987,1988-03-01,North
5492,49987,1988-03-01,North West
5909,49987,1988-03-01,South East
4811,49987,1988-03-01,West Midlands
2217,49987,1988-03-01,Northern Ireland
3551,49987,1988-03-01,Wales
3859,49987,1988-03-01,East Midlands
4353,49987,1988-03-01,Yorkshire & Humber
4018,49987,1988-03-01,South West
4728,49987,1988-03-01,Scotland
2425,49987,1988-03-01,London
4333,51716,1988-04-01,Yorkshire & Humber
4314,51716,1988-04-01,South West
5833,51716,1988-04-01,South East
4780,51716,1988-04-01,West Midlands
3113,51716,1988-04-01,East Anglia
3159,51716,1988-04-01,London
4042,51716,1988-04-01,East Midlands
3477,51716,1988-04-01,Wales
5966,51716,1988-04-01,North West
2278,51716,1988-04-01,Northern Ireland
4219,51716,1988-04-01,North
4686,51716,1988-04-01,Scotland
3035,51209,1988-05-01,East Anglia
5862,51209,1988-05-01,South East
2971,51209,1988-05-01,London
4729,51209,1988-05-01,West Midlands
4377,51209,1988-05-01,Yorkshire & Humber
4350,51209,1988-05-01,South West
6003,51209,1988-05-01,North West
1976,51209,1988-05-01,Northern Ireland
3510,51209,1988-05-01,Wales
4020,51209,1988-05-01,East Midlands
4870,51209,1988-05-01,Scotland
4192,51209,1988-05-01,North
5988,51126,1988-06-01,South East
5687,51126,1988-06-01,North West
3539,51126,1988-06-01,Wales
4501,51126,1988-06-01,Yorkshire & Humber
3073,51126,1988-06-01,East Anglia
3148,51126,1988-06-01,London
3906,51126,1988-06-01,North
4914,51126,1988-06-01,Scotland
4341,51126,1988-06-01,South West
3734,51126,1988-06-01,East Midlands
4555,51126,1988-06-01,West Midlands
2346,51126,1988-06-01,Northern Ireland
3513,50053,1988-07-01,Wales
3501,50053,1988-07-01,London
5069,50053,1988-07-01,South East
3791,50053,1988-07-01,North
2974,50053,1988-07-01,East Anglia
2369,50053,1988-07-01,Northern Ireland
3876,50053,1988-07-01,East Midlands
5783,50053,1988-07-01,North West
4186,50053,1988-07-01,South West
4850,50053,1988-07-01,Scotland
4539,50053,1988-07-01,West Midlands
4375,50053,1988-07-01,Yorkshire & Humber
3172,47264,1988-09-01,London
5678,47264,1988-09-01,South East
5055,47264,1988-09-01,North West
2710,47264,1988-09-01,East Anglia
3155,47264,1988-09-01,Wales
2338,47264,1988-09-01,Northern Ireland
4171,47264,1988-09-01,South West
3972,47264,1988-09-01,Yorkshire & Humber
3484,47264,1988-09-01,East Midlands
4515,47264,1988-09-01,West Midlands
5008,47264,1988-09-01,Scotland
2978,47264,1988-09-01,North
4512,50282,1988-10-01,West Midlands
2332,50282,1988-10-01,Northern Ireland
3470,50282,1988-10-01,Wales
4356,50282,1988-10-01,Yorkshire & Humber
4243,50282,1988-10-01,South West
4972,50282,1988-10-01,Scotland
3147,50282,1988-10-01,East Anglia
5525,50282,1988-10-01,North West
4068,50282,1988-10-01,East Midlands
4091,50282,1988-10-01,North
5372,50282,1988-10-01,South East
2900,50282,1988-10-01,London
4343,49281,1988-11-01,West Midlands
4188,49281,1988-11-01,South West
3125,49281,1988-11-01,East Anglia
4923,49281,1988-11-01,South East
4103,49281,1988-11-01,North
3897,49281,1988-11-01,London
2253,49281,1988-11-01,Northern Ireland
4260,49281,1988-11-01,Yorkshire & Humber
3452,49281,1988-11-01,East Midlands
3161,49281,1988-11-01,Wales
5620,49281,1988-11-01,North West
4831,49281,1988-11-01,Scotland
5025,51813,1988-12-01,Scotland
2316,51813,1988-12-01,Northern Ireland
3368,51813,1988-12-01,London
5874,51813,1988-12-01,South East
4308,51813,1988-12-01,North
3581,51813,1988-12-01,East Midlands
5958,51813,1988-12-01,North West
4437,51813,1988-12-01,South West
4507,51813,1988-12-01,West Midlands
3502,51813,1988-12-01,Wales
3247,51813,1988-12-01,East Anglia
4423,51813,1988-12-01,Yorkshire & Humber
2059,48551,1989-01-01,Northern Ireland
5395,48551,1989-01-01,South East
4083,48551,1989-01-01,South West
3039,48551,1989-01-01,East Anglia
4694,48551,1989-01-01,Scotland
5573,48551,1989-01-01,North West
4058,48551,1989-01-01,Yorkshire & Humber
4022,48551,1989-01-01,North
3232,48551,1989-01-01,Wales
4128,48551,1989-01-01,West Midlands
3246,48551,1989-01-01,London
3720,48551,1989-01-01,East Midlands
3730,57413,1989-03-01,London
5671,57413,1989-03-01,South West
4930,57413,1989-03-01,West Midlands
5972,57413,1989-03-01,North West
3532,57413,1989-03-01,East Anglia
6846,57413,1989-03-01,South East
3794,57413,1989-03-01,Wales
5367,57413,1989-03-01,Scotland
4500,57413,1989-03-01,East Midlands
4517,57413,1989-03-01,North
2531,57413,1989-03-01,Northern Ireland
4814,57413,1989-03-01,Yorkshire & Humber
1259,20572,1989-04-01,East Anglia
