date,date3,quote_date,month,quarter,year,p,up,down,level,up12,down12,level12,change,up_sh,down_sh,level_sh,change_sh,up12_sh,down12_sh,level12_sh,obs_panel,obs,CPI,inflation,net12_sh
1,01-02-1988,198802,2,1,1988,35459,0,0,0,0,0,0,0,,,,,,,,35459,51065,48.6,,
2,01-03-1988,198803,3,1,1988,35240,3728,1884,26070,0,0,0,5612,.10578888,.053461976,.73978436,.15925086,,,,35240,49987,48.7,,
3,01-04-1988,198804,4,2,1988,36066,6599,1762,23652,0,0,0,8361,.18297011,.048854876,.65579772,.23182499,,,,36066,51716,49.3,,
4,01-05-1988,198805,5,2,1988,35869,3512,2262,27109,0,0,0,5774,.097911842,.063062809,.75577796,.16097465,,,,35869,51209,49.5,,
5,01-06-1988,198806,6,2,1988,35811,3107,1934,27415,0,0,0,5041,.08676105,.054005753,.76554692,.1407668,,,,35811,51126,49.7,,
6,01-07-1988,198807,7,3,1988,36038,3227,3121,25180,0,0,0,6348,.089544371,.086603031,.69870692,.1761474,,,,36038,50053,49.7,,
7,01-08-1988,198808,8,3,1988,,,,,,,,,,,,,,,,0,0,49.9,,
8,01-09-1988,198809,9,3,1988,34038,0,0,0,0,0,0,0,,,,,,,,34038,47264,50.1,,
9,01-10-1988,198810,10,4,1988,35834,3534,1630,25105,0,0,0,5164,.098621421,.045487527,.70059162,.14410895,,,,35834,50282,50.3,,
10,01-11-1988,198811,11,4,1988,35351,3990,2016,26072,0,0,0,6006,.11286809,.057028089,.73751801,.16989619,,,,35351,49281,50.5,,
11,01-12-1988,198812,12,4,1988,36701,2743,1559,28115,0,0,0,4302,.074739106,.042478405,.76605541,.11721751,,,,36701,51813,50.6,,
12,01-01-1989,198901,1,1,1989,35145,5191,3141,23183,0,0,0,8332,.14770238,.089372598,.65963864,.23707497,,,,35145,48551,50.8,,
13,01-02-1989,198902,2,1,1989,,,,,,,,,,,,,,,,0,0,51,.049382687,
14,01-03-1989,198903,3,1,1989,41887,0,0,0,15694,4109,6158,0,,,,,.37467471,.098097265,.14701459,41887,57413,51.2,.051334739,.27657744
15,01-04-1989,198904,4,2,1989,12740,2209,784,8530,4672,1329,1870,2993,.1733909,.061538462,.66954476,.23492935,.36671901,.10431711,.14678179,12740,20572,51.9,.052738309,.26240188
16,01-05-1989,198905,5,2,1989,42317,1944,839,8987,15984,4184,6215,2783,,,,,.37772053,.098872796,.14686769,42317,57869,52.2,.054545403,.27884775
17,01-06-1989,198906,6,2,1989,42455,3683,2107,32881,16132,4092,6275,5790,.086750679,.049629018,.77449065,.13637969,.37997881,.096384406,.14780356,42455,58028,52.3,.052313924,.2835944
18,01-07-1989,198907,7,3,1989,41792,4992,3932,28376,16198,4007,5969,8924,.1194487,.094084993,.6789816,.21353368,.38758615,.095879592,.14282638,41792,56793,52.3,.052313924,.29170656
19,01-08-1989,198908,8,3,1989,41236,4565,2815,30111,0,0,0,7380,.11070424,.068265595,.73021144,.17896983,,,,41236,55705,52.4,.050100207,
20,01-09-1989,198909,9,3,1989,41727,4717,2190,29662,15444,3636,5349,6907,.11304431,.052484002,.7108587,.16552831,.37012008,.087137826,.12819038,41727,56655,52.7,.051896214,.28298226
21,01-10-1989,198910,10,4,1989,40912,5777,1981,28368,16250,3630,5555,7758,.14120552,.048421003,.69339067,.18962651,.39719397,.088727027,.13577923,40912,55533,53.1,.05566597,.30846694
22,01-11-1989,198911,11,4,1989,42544,4538,2230,30199,16903,3561,5684,6768,.10666604,.052416321,.70982981,.15908237,.39730632,.083701581,.13360286,42544,57758,53.3,.055445552,.31360474
23,01-12-1989,198912,12,4,1989,40845,3809,2399,31614,16784,3631,5476,6208,.093254991,.058734238,.77399927,.15198922,.41091934,.088897049,.13406782,40845,54852,53.4,.055335999,.32202229
24,01-01-1990,199001,1,1,1990,40857,5695,3152,25400,16521,3491,5455,8847,.13938861,.077147126,.6216805,.21653572,.40436155,.085444354,.13351445,40857,54121,53.6,.055118084,.31891719
25,01-02-1990,199002,2,1,1990,45692,5345,2151,29385,0,0,0,7496,.1169789,.047076076,.64311039,.16405497,,,,45692,60253,54,.058823586,
26,01-03-1990,199003,3,1,1990,46154,5410,2312,33751,20604,4500,6639,7722,.11721627,.050093167,.73126924,.16730945,.44641852,.097499676,.14384452,46154,60923,54.2,.05859375,.34891886
27,01-04-1990,199004,4,2,1990,46210,9817,2171,29248,6985,1269,1757,11988,.21244319,.046981174,.6329366,.25942436,,,,46210,60819,55.2,.063583851,
28,01-05-1990,199005,5,2,1990,46421,7504,3053,31198,21873,4253,6169,10557,.16165097,.065767646,.67206651,.22741863,.47118762,.091618016,.13289244,46421,61136,55.7,.067049861,.37956959
29,01-06-1990,199006,6,2,1990,46944,4668,3056,34507,21875,4653,5953,7724,.099437624,.065098844,.73506731,.16453648,.46598074,.099118099,.12681067,46944,62259,55.9,.068833709,.36686265
30,01-07-1990,199007,7,3,1990,44950,5599,4859,29418,20642,4484,5392,10458,.12456062,.10809789,.65446049,.23265851,.45922136,.099755287,.1199555,44950,59060,55.8,.066921592,.35946608
31,01-08-1990,199008,8,3,1990,45293,6962,3015,30099,21097,4333,5199,9977,.15371029,.066566579,.66453975,.22027686,.46578941,.095665999,.11478595,45293,60067,56.4,.076335907,.37012342
32,01-09-1990,199009,9,3,1990,46122,6190,2610,30943,21524,4111,4908,8800,.13420928,.056589045,.67089456,.19079831,.46667534,.089133166,.10641342,46122,61285,57,.081593871,.37754217
33,01-10-1990,199010,10,4,1990,46861,7320,2966,30812,21129,4070,4953,10286,.15620665,.063293569,.65751904,.21950023,.45088667,.08685261,.10569557,46861,62163,57.4,.080979228,.36403406
34,01-11-1990,199011,11,4,1990,48942,5356,3797,33729,22324,4366,5369,9153,.10943566,.077581629,.68916267,.18701729,.45613176,.089207634,.10970128,48942,65091,57.5,.078799248,.36692411
35,01-12-1990,199012,12,4,1990,48573,5004,3819,35375,20950,4207,4678,8823,.1030202,.078623928,.72828525,.18164413,.43130958,.086611904,.096308649,48573,63911,57.5,.076779008,.34469768
36,01-01-1991,199101,1,1,1991,44560,7721,6013,25321,19838,4071,4145,13734,.173272,.13494165,.56824505,.30821365,.44519749,.091359966,.093020648,44560,57581,57.4,.070895553,.35383752
37,01-02-1991,199102,2,1,1991,53277,6019,3183,28587,20853,4755,4334,9202,.11297558,.059744354,.53657299,.17271994,.39140716,.08925052,.081348427,53277,68575,57.7,.068518519,.30215663
38,01-03-1991,199103,3,1,1991,54923,6645,3703,38165,21976,4982,4755,10348,.12098756,.06742166,.69488192,.18840922,.4001238,.090708807,.086575754,54923,71151,57.9,.068265676,.30941498
39,01-04-1991,199104,4,2,1991,56273,21632,3187,23235,22512,4801,3761,24819,.38441169,.05663462,.41289783,.44104633,.40004975,.085316226,.066834897,56273,72853,59.9,.085144877,.31473351
40,01-05-1991,199105,5,2,1991,59061,8567,4028,35429,21760,4809,3553,12595,.14505342,.06820067,.59987134,.21325409,.36843264,.081424288,.060158141,59061,74482,60.3,.082585335,.28700835
41,01-06-1991,199106,6,2,1991,61249,7036,4670,42185,22380,4573,3622,11706,.11487535,.076246142,.68874592,.19112149,.36539373,.074662447,.059135661,61249,77477,60.6,.08407867,.29073128
42,01-07-1991,199107,7,3,1991,63435,7818,7731,38443,21314,4676,3552,15549,.12324426,.12187278,.60602194,.24511705,.33599749,.07371325,.055994324,63435,78589,60.5,.08422935,.26228425
43,01-08-1991,199108,8,3,1991,62510,7191,5546,44764,21364,4699,3600,12737,.11503759,.088721804,.7161094,.2037594,.34176931,.07517197,.057590786,62510,77622,60.9,.079787254,.26659733
44,01-09-1991,199109,9,3,1991,68122,6511,4965,43477,20988,5443,3721,11476,.095578521,.072883941,.63822258,.16846247,.30809429,.079900764,.054622591,68122,84335,61.1,.071929812,.22819352
45,01-10-1991,199110,10,4,1991,70068,8222,5626,47475,21016,5679,3911,13848,.11734315,.080293432,.6775561,.19763657,.29993722,.081049837,.055817205,70068,87414,61.3,.067944288,.21888739
46,01-11-1991,199111,11,4,1991,73918,8624,5345,51429,23272,5636,4354,13969,.11666983,.072309859,.69575745,.18897969,.31483537,.076246649,.058903109,73918,92291,61.5,.069565177,.23858872
47,01-12-1991,199112,12,4,1991,75882,7547,6053,55793,22982,5480,4406,13600,.099457055,.079768591,.73526001,.17922564,.30286497,.07221739,.058063835,75882,94958,61.6,.071304321,.23064758
48,01-01-1992,199201,1,1,1992,73230,9843,10012,47316,21075,4977,4431,19855,.13441212,.13671993,.64612865,.27113205,.28779188,.06796395,.060507987,73230,90912,61.4,.069686413,.21982792
49,01-02-1992,199202,2,1,1992,75957,8312,3930,44032,22501,5484,4706,12242,.10943034,.051739801,.57969642,.16117014,.29623339,.072198741,.061956108,75957,90929,61.7,.069324136,.22403464
50,01-03-1992,199203,3,1,1992,75612,9165,4736,55850,23462,5576,5041,13901,.12121092,.062635563,.73863935,.18384647,.31029466,.073744908,.066669315,75612,90207,62,.070811749,.23654975
51,01-04-1992,199204,4,2,1992,79424,14367,5920,49158,21204,7055,6850,20287,.1808899,.074536666,.61893129,.25542659,.26697221,.088827051,.086245969,79424,94520,62.7,.046744585,.17814517
52,01-05-1992,199205,5,2,1992,81214,9874,5822,58901,23378,8160,7949,15696,.12158002,.071687147,.72525674,.19326717,.28785679,.10047529,.097877212,81214,96568,62.9,.043117762,.18738151
