date,quote_date,obs_panel,obs,date2,date3,year,year_s,month,month_s,quarter,p_min,p_max,p_mean,p_med,p_sd,cpiindex00allitems2015100,cpiindex012nonalcoholicbeverages,cpiindex011food2015100,cpiindex02alcoholicbeveragestoba,cpiindex01foodandnonalcoholicbev,cpi00_adjustment,day,day_s,date4
1,198802,35459,51065,01-02-1988,01-02-1988,1988,1988,2,02,1,.039999999,743,16.374935,1.35,54.338814,48.6,45.9,48.5,27.4,48.3,1,1,01,1988-02-01
2,198803,35240,49987,01-03-1988,01-03-1988,1988,1988,3,03,1,.029999999,639.5,15.306061,1.3,51.61562,48.7,46.2,48.6,27.5,48.4,1.0020577,1,01,1988-03-01
3,198804,36066,51716,01-04-1988,01-04-1988,1988,1988,4,04,2,.029999999,889,15.833013,1.35,53.485882,49.3,46.6,48.9,27.9,48.7,1.0144033,1,01,1988-04-01
4,198805,35869,51209,01-05-1988,01-05-1988,1988,1988,5,05,2,.029999999,889,15.961594,1.35,53.936596,49.5,47.2,49,28,48.8,1.0185186,1,01,1988-05-01
5,198806,35811,51126,01-06-1988,01-06-1988,1988,1988,6,06,2,.029999999,889,15.863515,1.38,53.68438,49.7,47.7,49,28,48.9,1.0226338,1,01,1988-06-01
6,198807,36038,50053,01-07-1988,01-07-1988,1988,1988,7,07,3,.029999999,797,15.706294,1.37,53.324883,49.7,48.1,48.5,28,48.5,1.0226338,1,01,1988-07-01
8,198809,34038,47264,01-09-1988,01-09-1988,1988,1988,9,09,3,.029999999,795,15.534357,1.3200001,53.451241,50.1,48.8,48.9,28.1,48.9,1.0308642,1,01,1988-09-01
9,198810,35834,50282,01-10-1988,01-10-1988,1988,1988,10,10,4,.029999999,969,15.787164,1.39,53.582981,50.3,48.9,48.9,28.2,49,1.0349795,1,01,1988-10-01
10,198811,35351,49281,01-11-1988,01-11-1988,1988,1988,11,11,4,.029999999,829,15.430574,1.3,53.23317,50.5,49,49.3,28.2,49.3,1.0390947,1,01,1988-11-01
11,198812,36701,51813,01-12-1988,01-12-1988,1988,1988,12,12,4,.029999999,829,15.674806,1.39,53.225403,50.6,49.2,49.7,28.1,49.7,1.0411522,1,01,1988-12-01
12,198901,35145,48551,01-01-1989,01-01-1989,1989,1989,1,01,1,.029999999,829,15.689074,1.4,53.117466,50.8,49.4,50.1,28.4,50.1,1.0452675,1,01,1989-01-01
14,198903,41887,57413,01-03-1989,01-03-1989,1989,1989,3,03,1,.050000001,799.95001,15.6563,1.39,52.64859,51.2,49.9,50.5,28.6,50.5,1.0534979,1,01,1989-03-01
15,198904,12740,20572,01-04-1989,01-04-1989,1989,1989,4,04,2,.050000001,4.5900002,.69541949,.49000001,.61197758,51.9,50.3,51.1,28.7,51.1,1.0679013,1,01,1989-04-01
16,198905,42317,57869,01-05-1989,01-05-1989,1989,1989,5,05,2,.050000001,829,15.473289,1.42,52.424545,52.2,50.4,51.5,28.8,51.4,1.074074,1,01,1989-05-01
17,198906,42455,58028,01-06-1989,01-06-1989,1989,1989,6,06,2,.050000001,829,15.551888,1.4299999,52.789654,52.3,50.5,51.6,28.8,51.6,1.0761317,1,01,1989-06-01
18,198907,41792,56793,01-07-1989,01-07-1989,1989,1989,7,07,3,.050000001,850,15.562379,1.4299999,53.017704,52.3,50.7,51.3,28.8,51.3,1.0761317,1,01,1989-07-01
19,198908,41236,55705,01-08-1989,01-08-1989,1989,1989,8,08,3,.050000001,850,15.246579,1.42,52.157944,52.4,51,51.5,28.8,51.5,1.0781893,1,01,1989-08-01
20,198909,41727,56655,01-09-1989,01-09-1989,1989,1989,9,09,3,.050000001,899,15.562812,1.4400001,52.736385,52.7,51.2,51.9,29,51.8,1.0843621,1,01,1989-09-01
21,198910,40912,55533,01-10-1989,01-10-1989,1989,1989,10,10,4,.050000001,899,15.745047,1.45,53.469437,53.1,51.3,52.5,29.2,52.4,1.0925926,1,01,1989-10-01
22,198911,42544,57758,01-11-1989,01-11-1989,1989,1989,11,11,4,.050000001,859,15.976122,1.46,54.042072,53.3,51.3,53.1,29.2,52.9,1.0967078,1,01,1989-11-01
23,198912,40845,54852,01-12-1989,01-12-1989,1989,1989,12,12,4,.050000001,859,15.908699,1.47,53.809975,53.4,51.5,53.5,29.1,53.4,1.0987654,1,01,1989-12-01
24,199001,40857,54121,01-01-1990,01-01-1990,1990,1990,1,01,1,.050000001,799.95001,15.259739,1.45,52.396126,53.6,51.8,54.3,29.3,54.1,1.1028807,1,01,1990-01-01
25,199002,45692,60253,01-02-1990,01-02-1990,1990,1990,2,02,1,.050000001,799.95001,15.367912,1.49,52.103889,54,52.2,54.8,29.5,54.6,1.1111112,1,01,1990-02-01
26,199003,46154,60923,01-03-1990,01-03-1990,1990,1990,3,03,1,.050000001,850,15.451891,1.49,52.487251,54.2,53.2,55,29.6,54.9,1.1152264,1,01,1990-03-01
27,199004,46210,60819,01-04-1990,01-04-1990,1990,1990,4,04,2,.050000001,899,15.659709,1.5,53.376804,55.2,53.9,55.5,30.5,55.4,1.1358025,1,01,1990-04-01
28,199005,46421,61136,01-05-1990,01-05-1990,1990,1990,5,05,2,.029999999,899,15.702958,1.55,53.621433,55.7,55,56.1,31.2,56.1,1.1460905,1,01,1990-05-01
29,199006,46944,62259,01-06-1990,01-06-1990,1990,1990,6,06,2,.029999999,899,15.798903,1.55,53.925682,55.9,55.4,56,31.3,56,1.1502057,1,01,1990-06-01
30,199007,44950,59060,01-07-1990,01-07-1990,1990,1990,7,07,3,.029999999,899,15.794408,1.58,53.663853,55.8,55.6,55.3,31.5,55.4,1.1481482,1,01,1990-07-01
31,199008,45293,60067,01-08-1990,01-08-1990,1990,1990,8,08,3,.029999999,950,15.568626,1.55,53.587044,56.4,55.8,55.9,31.5,56,1.1604939,1,01,1990-08-01
32,199009,46122,61285,01-09-1990,01-09-1990,1990,1990,9,09,3,.029999999,1395,15.385884,1.52,53.623638,57,55.9,56.1,31.5,56.1,1.1728395,1,01,1990-09-01
33,199010,46861,62163,01-10-1990,01-10-1990,1990,1990,10,10,4,.029999999,1087,15.599316,1.55,53.740597,57.4,55.8,56.1,31.8,56.2,1.18107,1,01,1990-10-01
34,199011,48942,65091,01-11-1990,01-11-1990,1990,1990,11,11,4,.029999999,1300.75,16.005434,1.55,54.93816,57.5,55.8,56.6,31.8,56.6,1.1831275,1,01,1990-11-01
35,199012,48573,63911,01-12-1990,01-12-1990,1990,1990,12,12,4,.029999999,1300.75,16.054384,1.59,54.813896,57.5,55.6,57,31.8,56.9,1.1831275,1,01,1990-12-01
36,199101,44560,57581,01-01-1991,01-01-1991,1991,1991,1,01,1,.029999999,1300,15.628951,1.55,54.396511,57.4,54.9,57.5,32.1,57.3,1.18107,1,01,1991-01-01
37,199102,53277,68575,01-02-1991,01-02-1991,1991,1991,2,02,1,.029999999,1300,18.625538,1.61,62.064377,57.7,55.9,58.2,32.3,58,1.1872427,1,01,1991-02-01
38,199103,54923,71151,01-03-1991,01-03-1991,1991,1991,3,03,1,.029999999,1300,18.686651,1.61,62.724331,57.9,56.2,58.2,32.5,58,1.191358,1,01,1991-03-01
39,199104,56273,72853,01-04-1991,01-04-1991,1991,1991,4,04,2,.029999999,1328.26,19.117792,1.74,64.407196,59.9,57.3,58.8,35.5,58.7,1.2325103,1,01,1991-04-01
40,199105,59061,74482,01-05-1991,01-05-1991,1991,1991,5,05,2,.029999999,1199,20.13908,1.84,65.764961,60.3,57.8,58.6,35.8,58.6,1.2407408,1,01,1991-05-01
41,199106,61249,77477,01-06-1991,01-06-1991,1991,1991,6,06,2,.029999999,1199,20.015995,1.87,65.765175,60.6,58.2,59.2,35.9,59.2,1.2469136,1,01,1991-06-01
42,199107,63435,78589,01-07-1991,01-07-1991,1991,1991,7,07,3,.029999999,1550,19.55695,1.87,64.408119,60.5,58.7,58.3,35.9,58.4,1.244856,1,01,1991-07-01
