item,item_id,id_count,item_id_raw,description,division,date_quote_s,date_quote_e,desc_appearances,date_start,date_end,coicop4_id,group,n_shops,p_min,p_max,p_mean,p_med,p_sd,coicop5_id,order,to_adjust_id,max_id,n_obs,span,spanrank,chartrank,meat_fish,track_kg,kg,to_adjust
1,210101,1,210101,LARGE LOAF-WHITE-SLICED-800G,1,198802,200401,1,1,192,10101,101,222,.07,1.4,.56312937,.54000002,.17646977,0,833,,210101,36039,191,496,511,,0G,0,
2,210102,1,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,198802,202303,1,1,422,10101,101,212,.34999999,3.6900001,.93410194,.85000002,.32512462,1010103,834,,210102,54630,421,1,102,,0G,0,
3,210105,1,210105,LARGE WHOLEMEAL LOAF-UNSLICED,1,198802,200301,1,1,180,10101,101,200,.30000001,2,.74522442,.75,.14188217,0,836,,210105,27161,179,538,556,,ED,0,
4,210106,1,210106,SIX BREAD ROLLS-WHITE/BROWN,1,198802,202303,1,1,422,10101,101,223,.1,5.3400002,.81167734,.72000003,.40912879,1010103,1176,,210106,63332,421,1,91,,WN,0,
5,210107,1,210107,"BROWN LOAF,400G,SLICED-GRAN",1,198903,200401,1,14,192,10101,101,215,.11,1.09,.52304959,.51999998,.10124722,0,239,,210107,29361,178,563,565,,AN,0,
6,210108,1,210108,PITTA BREAD,1,200002,201001,1,145,264,10101,101,158,.19,1.59,.57846904,.55000001,.19979824,0,1005,,210108,14605,119,748,762,,AD,0,
7,210109,1,210109,FRENCH STICK/BAGUETTE,1,200102,200501,1,157,204,10101,101,109,.23,1,.54244423,.44999999,.18536258,0,604,,210109,5695,47,1032,1063,,TE,0,
8,210110,1,210110,LARGE WHOLEMEAL LOAF (SLICED),1,200302,200401,1,181,192,10101,101,73,.34999999,1.28,.78563082,.75,.1825778,0,835,,210110,1506,11,1217,1278,,D),0,
9,210111,1,210111,WHITE SLICED LOAF BRANDED 750G,1,200402,202303,1,193,422,10101,101,134,.23,2.79,1.0561221,1.05,.27722427,1010103,1316,,210111,32329,229,353,373,,0G,0,
10,210112,1,210112,BROWN SLICED LOAF BRANDED 400G,1,200402,200601,1,193,216,10101,101,81,.30000001,1.09,.63286501,.66000003,.13840304,0,240,,210112,2719,23,1157,1181,,0G,0,
11,210113,1,210113,WHOLEMEAL SLICED LOAF BRANDED,1,200402,202303,1,193,422,10101,101,134,.36000001,2.79,1.0892364,1.1,.25492346,1010103,1322,,210113,31352,229,353,375,,ED,0,
12,210114,1,210114,CHILLED GARLIC BREAD,1,201002,202303,1,265,422,10101,101,121,.27000001,2.75,.87813032,.80000001,.42351604,1010103,345,,210114,34653,157,606,610,,AD,0,
14,210201,1,210201,FLOUR-SELF-RAISING-1.5KG,1,198802,202303,1,1,422,10101,101,216,.090000004,3.49,.75774455,.73000002,.2965962,1010102,597,,210201,59793,421,1,97,,KG,0,
15,210202,1,210202,RICE-LONG GRAIN-WHITE-500G,1,198802,200301,1,1,180,10101,101,205,.19,1.99,.64290589,.57999998,.21498047,0,1140,,210202,27513,179,538,555,,0G,0,
16,210204,1,210204,DRY SPAGHETTI OR PASTA 500G,1,198802,202303,1,1,422,10101,101,225,.12,2.52,.71948695,.62,.35228235,1010106,534,,210204,82040,421,1,63,,0G,0,
17,210205,1,210205,MUESLI 500G - 1KG,1,198802,200601,1,1,216,10101,101,221,.47999999,3.99,1.5466406,1.47,.49691063,0,948,,210205,30830,215,429,440,,KG,0,
18,210206,1,210206,CORN FLAKES,,199601,199601,1,96,96,,,100,.69,1.79,1.048093,1.0599999,.14193453,,445,,210206,215,0,1317,1330,,ES,0,
19,210208,1,210208,BREAKFAST CEREAL 4,,199601,199601,1,96,96,,,102,.86000001,1.49,.99568623,.99000001,.09125302,,234,,210208,204,0,1317,1339,, 4,0,
20,210209,1,210209,BREAKFAST CEREAL 1 NOT MUESLI,1,199602,200601,1,97,216,10101,101,208,.37,3.1900001,1.4735007,1.45,.39917704,0,231,,210209,20790,119,748,755,,LI,0,
21,210210,1,210210,BREAKFAST CEREAL 2 NOT MUESLI,1,200002,200601,1,145,216,10101,101,139,.44999999,2.79,1.5070096,1.49,.41339689,0,233,,210210,10196,71,940,953,,LI,0,
22,210211,2,210211,CORN SNACK SINGLE PACK MAX 50G,1,200102,202303,2,157,422,10107,101,152,.079999998,1.4,.48923898,.46000001,.21456575,1010705,56,1,210211,61392,265,260,268,,0G,0,
22,210211,2,210211,CORN SNACK SINGLE PACK MAX 50G,1,200102,202303,2,157,422,10101,101,152,.079999998,1.4,.48923898,.46000001,.21456575,1010107,57,1,210211,61392,265,260,268,,0G,0,
23,210212,1,210212,BASMATI RICE 500G-1KG,1,200302,202303,1,181,422,10101,101,134,.44,5.75,1.5170877,1.35,.72153741,1010101,171,,210212,31538,241,320,341,,KG,0,
24,210213,1,210213,BREAKFAST CEREAL 1,1,200602,202303,1,217,422,10101,101,133,.69,5,2.2401245,2.29,.63974106,1010107,230,,210213,45314,205,448,452,, 1,0,
25,210214,1,210214,BREAKFAST CEREAL 2,1,200602,202303,1,217,422,10101,101,133,.43000001,5.1500001,1.8885376,1.9,.61245579,1010107,232,,210214,45695,205,448,451,, 2,0,
26,210215,1,210215,CEREAL BAR,1,201002,202303,1,265,422,10101,101,124,.090000004,1.09,.3285633,.33000001,.11919553,1010104,302,,210215,33960,157,606,611,,AR,0,
27,210216,1,210216,HOT OAT CEREAL,1,201202,202303,1,289,422,10101,101,115,.38999999,5,1.8075014,2,.65361106,1010107,784,,210216,30281,133,683,684,,AL,0,
28,210217,1,210217,RICE MICRO POUCH/TRAY 220-280G,1,201602,202303,1,337,422,10101,101,107,.30000001,2.25,1.013502,1,.43694028,1010101,1139,,210217,19874,85,878,883,,0G,0,
29,210218,1,210218,"POPCORN, BAG, 10-30G",1,201902,202303,1,373,422,10101,101,68,.15000001,1.7,.4325026,.30000001,.26875779,1010107,1020,,210218,8874,49,1016,1029,,0G,0,
30,210219,1,210219,BREAKFAST CEREAL GLUTEN FREE,1,202002,202303,1,385,422,10101,101,62,.58999997,4.1500001,2.2963231,2.25,.83228046,1010107,235,,210219,7082,37,1081,1089,,EE,0,
31,210221,1,210221,COUSCOUS PLAIN/FLAVOURED,,202102,202303,1,397,422,,,15,.38999999,2.5,.81481779,.69999999,.44691309,,448,,210221,4143,25,1144,1155,,ED,0,
32,210301,1,210301,CREAM CRACKERS PACK 200G-300G,1,198802,202303,1,1,422,10101,101,223,.11,2.5899999,.51330793,.36000001,.33375728,1010104,451,,210301,62371,421,1,93,,0G,0,
33,210302,1,210302,PLAIN BISCUITS-200-300G,1,198802,202303,1,1,422,10101,101,224,.14,2.3900001,.59415579,.49000001,.3013176,1010104,1008,,210302,65990,421,1,83,,0G,0,
34,210304,1,210304,CHOC COATED BISCUITS-200-300G,1,198802,200601,1,1,216,10101,101,220,.19,4.29,.7451759,.74000001,.19956881,0,352,,210304,35870,215,429,434,,0G,0,
35,210305,1,210305,CHOC CTD BISCS-IND WRAPD 6-8PK,1,198802,200501,1,1,204,10101,101,216,.28999999,1.35,.66760755,.64999998,.15409924,0,353,,210305,33923,203,467,477,,PK,0,
36,210306,1,210306,FRUIT SCONES,1,198802,200301,1,1,180,10101,101,221,.02,.88999999,.1991592,.19,.080984414,0,679,,210306,28415,179,538,554,,ES,0,
37,210312,1,210312,WHOLE CHOC CAKE-NOT FROZEN,1,198903,200001,1,14,144,10101,101,200,.28999999,14,1.1557852,1.08,.64439929,0,1320,,210312,18402,130,710,730,,EN,0,
38,210316,1,210316,ICED BUN-EACH,1,199102,199801,1,37,120,10101,101,177,.079999998,.99000001,.24789123,.23999999,.09008766,0,790,,210316,13093,83,893,913,,CH,0,
39,210317,1,210317,FRUIT PIES 4-6 PACK,1,199302,202001,1,61,384,10101,101,210,.14,2.9400001,1.1001052,1,.32671121,1010104,678,,210317,42220,323,184,187,,CK,0,
