description,item_id,p,span,upSh12m,upCh12m,upShLR,upChLR,upSh1m,upCh1m,date,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,division_s,division_sh,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12,nPrices,desc_short
LARGE LOAF-WHITE-UNSLICED-800G,210102,1.45,432,.83999997,.095554926,.53804719,.10371949,.034482758,.035714336,434,2,4,52,42,3,5,.035714336,-.11111111,.11538469,-.12500007,-.11458335,-.20965609,58,.068965517,50,.059999999,1,101,2024,3,1,.34,.012142874,.032488674,Food and non-alcoholic beverages,Food & drink,27,385,436,209,505,504,308,134,492,491,434,.1023292,.13502935,328,325,58,White loaf
SIX BREAD ROLLS-WHITE/BROWN,210106,1.15,432,.55208331,.13594627,.45808366,.16235776,.029411765,.09977226,434,3,1,98,53,15,28,.084848478,-.011111101,.12499996,-.10909091,-.011111101,-.17455721,102,.0098039219,96,.15625,1,101,2024,3,1,.68000001,.067845136,.092443466,Food and non-alcoholic beverages,Food & drink,169,407,304,427,426,390,213,1,347,355,434,.089175716,.16193238,308,378,102,Bread rolls
WHITE SLICED LOAF BRANDED 750G,210111,1.4,242,.11666667,.15387313,.53187072,.14123721,.015625,.082373321,434,2,2,124,14,44,62,.082373321,-.093749985,.12051614,-.11764708,-.093749985,-.091699995,128,.015625,120,.36666667,1,101,2024,3,1,.85000002,.070017323,.13079217,Food and non-alcoholic beverages,Food & drink,512,458,79,397,380,428,49,98,279,350,434,.11588841,.1317189,317,350,128,
WHOLEMEAL SLICED LOAF BRANDED,210113,1.39,242,.2020202,.099399082,.5046832,.13445546,.0087719299,.069230795,434,1,1,112,20,52,27,.069230795,-.033333302,.039999962,-.070197061,-.033333302,-.093887158,114,.0087719299,99,.52525252,1,101,2024,3,1,.68000001,.047076941,.067591377,Food and non-alcoholic beverages,Food & drink,487,486,25,437,498,452,57,17,403,415,434,.12099654,.1445995,526,461,114,
CHILLED GARLIC BREAD,210114,1,170,.37172773,.41502887,.36321825,.31753349,.097674422,.040477071,434,21,0,194,71,47,73,.010101001,,.052631591,-.13043477,,-.24368708,215,0,191,.24607331,1,101,2024,3,1,1.1900001,.048167717,.49388438,Food and non-alcoholic beverages,Food & drink,345,191,196,530,92,494,383,,31,412,434,.10502219,.31332549,514,316,215,
FLOUR-SELF-RAISING-1.5KG,210201,.80000001,432,.4245283,.21687652,.39779672,.20042577,.016528925,.26428571,434,2,5,114,45,13,48,.26428571,-.052631591,.14492758,-.012499988,-.05686377,-.094617888,121,.041322313,106,.12264151,1,101,2024,3,1,.34,.089857146,.073738016,Food and non-alcoholic beverages,Food & drink,290,453,349,281,272,177,58,38,391,305,434,.083565831,.18548307,252,517,121,Flour
DRY SPAGHETTI OR PASTA 500G,210204,.75,432,.083333336,.2133127,.39820281,.25602522,.0044444446,.049999952,434,1,26,198,17,150,37,.049999952,-.21100463,.2,-.2105263,-.20655501,-.19932149,225,.11555555,204,.7352941,1,101,2024,3,1,.17,.0084999921,.03626316,Food and non-alcoholic beverages,Food & drink,522,509,6,131,279,478,270,317,478,498,434,.10239909,.24386629,159,151,225,Spaghetti
CORN SNACK SINGLE PACK MAX 50G,210211,1,278,.41463414,.2004147,.54076242,.17089055,.037383176,.097727299,434,4,2,101,34,5,43,.10000002,-.26315787,.1515151,-.15151519,-.26315787,-.3057172,107,.018691588,82,.060975611,1,101,2024,3,1,.38999999,.038113646,.078161731,Food and non-alcoholic beverages,Food & drink,298,374,434,368,301,394,459,393,381,433,434,.085645668,.15373155,241,265,107,
BASMATI RICE 500G-1KG,210212,1.9,254,.41237113,.20549051,.37693211,.26777518,.024590164,.18755555,434,3,8,111,40,26,31,.19600001,-.048717968,.076923005,-.1477273,-.075460017,-.10388783,122,.065573767,97,.26804122,1,101,2024,3,1,.34,.063768886,.069866776,Food and non-alcoholic beverages,Food & drink,301,427,167,220,292,277,73,68,397,367,434,.096877925,.24305429,468,273,122,
BREAKFAST CEREAL 1,210213,2.75,218,.46524063,.22781889,.43973669,.22707476,.080952384,.31925136,434,17,42,151,87,61,39,.38333336,-.21428572,.099999987,-.16842102,-.20032276,-.19921263,210,.2,187,.3262032,1,101,2024,3,1,.85000002,.27136368,.19364606,Food and non-alcoholic beverages,Food & drink,249,225,108,49,256,132,268,307,186,68,434,.14212355,.32752505,389,215,210,
