item_id,year,p10,p20,p30,p40,p50,p60,p70,p80,p90
210102,1988,.54500002,.56199998,.579,.588,.59299999,.59899998,.60699999,.61449999,.63
210102,1989,.57090908,.59363633,.60636365,.61727273,.62181818,.63181818,.64090908,.65363634,.66909093
210102,1990,.59083331,.60916668,.62916666,.64083332,.64333332,.65916669,.67333335,.6875,.70416665
210102,1991,.64333332,.66750002,.67000002,.67916667,.69499999,.71416664,.73083335,.74833333,.77416664
210102,1992,.67291665,.69,.69083333,.70249999,.73166668,.75166667,.76749998,.77749997,.79583335
210102,1993,.65750003,.70666665,.70999998,.73666668,.76083332,.78916669,.80166668,.81999999,.83666664
210102,1994,.60833329,.70416665,.70999998,.7475,.7808333,.80250001,.81999999,.84166664,.85000002
210102,1995,.59499997,.69833332,.73000002,.74833333,.78750002,.81083333,.83249998,.84750003,.88
210102,1996,.51916665,.56124997,.70249999,.76666665,.79583335,.83416665,.84666669,.86666667,.88999999
210102,1997,.53000003,.53416669,.6008333,.72874999,.78625,.83166665,.84791666,.86374998,.88999999
210102,1998,.58666664,.58666664,.5933333,.66791666,.69666666,.79666668,.85083336,.88583332,.9066667
210102,1999,.57333332,.58999997,.58999997,.58999997,.63124996,.77708334,.84000003,.89666665,.92416668
210102,2000,.58999997,.58999997,.58999997,.59499997,.64958334,.7833333,.86708331,.89458334,.93583333
210102,2001,.59666663,.59999996,.60999995,.62,.65416664,.75833333,.84583336,.89499998,.9395833
210102,2002,.63,.63,.65666664,.67500001,.69166666,.815,.86500001,.94583333,1.04625
210102,2003,.59750003,.65750003,.685,.70583332,.75708336,.87125003,.9325,.97000003,1.0233333
210102,2004,.62583333,.71583337,.73083335,.74000001,.78250003,.88041669,.95833337,.99000001,1.0729167
210102,2005,.57999998,.64041668,.74000001,.74333334,.78291667,.86624998,.96375,.99916667,1.07375
210102,2006,.66583335,.68083334,.755,.77499998,.80958337,.88041663,.96416664,1.0454166,1.1216667
210102,2007,.83999997,.86500001,.86500001,.86500001,.91374999,.95125002,1.0091667,1.1016667,1.19375
210102,2008,1.0616667,1.0650001,1.0650001,1.0650001,1.0766667,1.1141666,1.1475,1.2133334,1.3104167
210102,2009,1.0058334,1.0225,1.0458333,1.0916667,1.0933334,1.1741667,1.24,1.2925,1.4008334
210102,2010,.97750002,1.0083333,1.0241667,1.025,1.05625,1.1691667,1.2383333,1.3029166,1.4275
210102,2011,1.0458333,1.13,1.2,1.2,1.2104167,1.2595834,1.3333333,1.4308333,1.4958334
210102,2012,1.1700001,1.2133334,1.2241666,1.2333333,1.2591667,1.3004166,1.41875,1.49,1.5666666
210102,2013,1.2108333,1.295,1.2983333,1.3,1.3,1.3608334,1.4591666,1.51125,1.6083333
210102,2014,1.0833334,1.2470833,1.3,1.3,1.3,1.3891666,1.4191667,1.475,1.5833334
210102,2015,1,1,1.05,1.0825,1.1608334,1.3266666,1.36,1.4325,1.5441667
210102,2016,.99833333,1,1,1.015,1.0925,1.2258333,1.3562499,1.4225,1.5791667
210102,2017,.9666667,1,1.015,1.0466666,1.1108334,1.1825,1.3,1.4383334,1.5625
210102,2018,1.0408334,1.095,1.0991666,1.1,1.1083333,1.1333333,1.2916666,1.4075,1.6
210102,2019,1.04,1.1,1.1041667,1.1083333,1.1770834,1.2270833,1.3166667,1.39125,1.7283334
210102,2020,1.075,1.1,1.1,1.1,1.1041667,1.1416667,1.2166667,1.2875,1.6
210102,2021,1.1,1.1125,1.1125,1.1208334,1.1291666,1.1708333,1.3,1.4166666,1.5541667
210102,2022,1.0585715,1.1642857,1.1714286,1.1714286,1.1785715,1.2642857,1.4714285,1.6571429,1.7714286
210106,1988,.336,.40399998,.44400001,.465,.4745,.49199998,.53299999,.56550002,.60100001
210106,1989,.31681818,.41045454,.46454546,.48272726,.50318182,.52000004,.55909091,.59909093,.63181818
210106,1990,.36291668,.43833333,.49583334,.52708334,.54500002,.57791668,.60916668,.64750004,.69833338
210106,1991,.44083333,.50083333,.54416668,.57541668,.59708333,.63249999,.66416669,.71000004,.77499998
210106,1992,.46583334,.50916666,.56708336,.61000001,.62625003,.65833336,.71500003,.76833332,.83999997
210106,1993,.43166664,.54500002,.59833336,.64666665,.65958333,.68666667,.72000003,.77916664,.89916664
210106,1994,.45374998,.55583334,.58749998,.62083334,.65875,.6895833,.72000003,.7808333,.89999998
210106,1995,.47708333,.58041668,.61083335,.64083332,.66374999,.70625001,.73833334,.8145833,.92499995
210106,1996,.47499999,.58916664,.63958335,.66624999,.6875,.73666668,.76583332,.84291667,.98624998
210106,1997,.47833332,.57333332,.62208331,.65958333,.68666667,.73250002,.76916665,.85166669,1.0183333
210106,1998,.44291666,.50583333,.58999997,.66791666,.69499999,.7141667,.77416664,.8725,1.0550001
210106,1999,.45666665,.49083334,.59999996,.68166667,.70750004,.75999999,.83583331,1.0287499,1.14
210106,2000,.45416665,.48958334,.58583331,.61666667,.70583332,.76583332,.84625,1.0275,1.17
210106,2001,.46250001,.52541667,.58833331,.66166663,.69499999,.75291669,.80500001,.99416667,1.375
210106,2002,.46083334,.52750003,.60291666,.68833333,.76041669,.79666668,.88583332,1.0979167,1.495
210106,2003,.45083332,.55624998,.67874998,.71708333,.79541665,.85083336,.94916666,1.1179167,1.465
210106,2004,.45166665,.51999998,.64916664,.71125001,.77125001,.86291665,.93666667,.99125004,1.1845833
210106,2005,.44333333,.49083334,.5983333,.69625002,.77708334,.87916666,.96583331,.99250001,1.1825
210106,2006,.39416665,.43249997,.58249998,.71541667,.79874998,.88666666,.99000001,1.075,1.22
210106,2007,.39249998,.43916667,.61500001,.73083335,.8508333,.88916665,.99000001,1.15,1.395
210106,2008,.47624999,.56166667,.65166664,.73083335,.80875003,.89916664,.99083334,1.1520834,1.4858334
210106,2009,.59166664,.64416665,.68666667,.72916669,.7791667,.90541667,.99000001,1.1325001,1.5
210106,2010,.59166664,.64041668,.6875,.72416669,.76166666,.88499999,.99000001,1.0495833,1.5429167
210106,2011,.60666668,.69708335,.75666666,.82208335,.89083332,.97166669,1.0366666,1.175,1.7541666
210106,2012,.64999998,.67333335,.70083332,.78916669,.90791667,.99416667,1.09,1.1925,1.6983333
210106,2013,.66583335,.69583333,.71416664,.76416671,.89291662,.99666667,1.035,1.19375,1.64
210106,2014,.61666667,.67833334,.76083332,.78583336,.90666664,1,1.02,1.1458334,1.6416667
210106,2015,.64583331,.66374999,.78666669,.79083335,.89999998,1,1,1.1283333,1.7108333
210106,2016,.57499999,.66249996,.75916666,.79000002,.89708328,.99166667,1,1.0916667,1.795
210106,2017,.64999998,.64999998,.7183333,.77833337,.84541667,.91666663,1,1.1041666,1.4929167
210106,2018,.64999998,.66916662,.745,.75041664,.76249999,.87708336,1,1.1729167,1.45625
210106,2019,.69,.6925,.71666664,.75999999,.80083334,.89041668,1.0225,1.2058333,1.7408333
210106,2020,.66500002,.69,.70166665,.73250002,.76583332,.81999999,.89749998,1.0808333,1.3866667
210106,2021,.56583333,.69666666,.70166665,.76249999,.79166669,.81999999,.93166667,1.1041667,1.4541667
210106,2022,.55000001,.76142859,.77142859,.82857144,.92714286,1.0164286,1.1885715,1.3214285,1.7357142
210201,1988,.463,.47800002,.479,.50199997,.53999996,.542,.54400003,.54400003,.55500001
210201,1989,.48909092,.50045455,.51227272,.52909088,.56136364,.57454544,.57999998,.58272725,.58909088
210201,1990,.48250002,.5025,.51916665,.5625,.58083332,.58499998,.5958333,.5983333,.6008333
210201,1991,.5333333,.56333333,.56666666,.61083335,.65458333,.66666669,.66666669,.66916668,.67083335
210201,1992,.56166667,.5675,.6008333,.64875001,.70249999,.71833336,.72583336,.73000002,.73083335
210201,1993,.48416665,.49416667,.56083333,.66458333,.70833331,.71625,.72500002,.72750002,.73583335
210201,1994,.3725,.41541666,.47333333,.63458335,.70499998,.71291667,.72000003,.72083336,.73083335
210201,1995,.41749999,.43166667,.435,.6270833,.69,.70583332,.72000003,.72000003,.73166668
210201,1996,.41583332,.4425,.44999999,.62916666,.6875,.71500003,.7191667,.72750002,.75
210201,1997,.38999999,.41416666,.44999999,.60916662,.72416669,.7475,.75,.75083333,.79000002
210201,1998,.38999999,.40833333,.43041664,.58916664,.70249999,.74833333,.76666665,.76749998,.79416668
210201,1999,.38749999,.38999999,.41083333,.58166665,.66416669,.74166667,.77750003,.78750002,.81
210201,2000,.38,.38999999,.41249999,.59916663,.69541669,.74250001,.76416665,.79166669,.95416665
210201,2001,.38083333,.39333332,.4075,.5645833,.66166663,.70583332,.75,.80416667,.93666667
210201,2002,.33958334,.38041666,.46291667,.63333333,.7191667,.73500001,.75,.79750001,.90083331
210201,2003,.33833334,.36416668,.4425,.64749998,.72791666,.74666667,.76875001,.82249999,.95916665
210201,2004,.43000001,.44875002,.47916666,.64499998,.76999998,.78666669,.80000001,.84000003,.96208334
210201,2005,.43000001,.435,.47499999,.64999998,.76291668,.78666669,.79000002,.84250003,.90541667
210201,2006,.43000001,.43000001,.50916666,.65333331,.77583331,.80166668,.82166666,.85666668,.92166668
210201,2007,.55374998,.57249999,.6558333,.72666669,.84250003,.91333336,.94749999,.98083335,1.0491667
210201,2008,.72249997,.74333334,.85250002,.88999999,.98083335,1.09375,1.1166667,1.255,1.3233333
210201,2009,.75,.75,.85166669,.88666666,.99625003,1.1741667,1.1933334,1.3441666,1.39
210201,2010,.70499998,.78208333,.84750003,.91208333,.92499995,1,1.1708333,1.2708334,1.4216666
210201,2011,.91000003,.98833334,1.01,1.1208334,1.245,1.2975,1.3658333,1.5766667,1.7133334
210201,2012,.88749999,.91583329,.95499998,1.0283333,1.1004167,1.1541667,1.2508333,1.3933333,1.5383333
210201,2013,.79874998,1.08,1.095,1.1025,1.1591667,1.2158333,1.2474999,1.4608333,1.6933333
210201,2014,.78000003,1.00875,1.0633334,1.075,1.1029167,1.1475,1.2,1.2691667,1.4291667
210201,2015,.79500002,.80000001,.80000001,.80000001,.83333337,.89333332,1.0691667,1.1075,1.1758333
210201,2016,.48083332,.75999999,.79000002,.80000001,.80000001,.80333334,.87,.88999999,.98333335
210201,2017,.46583334,.65166664,.77750003,.80000001,.8391667,.84583336,.87916666,.89999998,1.0291667
210201,2018,.46666667,.55958337,.67500001,.72916669,.78083336,.8125,.89999998,.94749999,.95416665
210201,2019,.44999999,.52750003,.60000002,.64999998,.73166668,.79791665,.87958336,.94875002,.97791666
210201,2020,.45333332,.49083334,.57583332,.65749997,.75833333,.79583335,.88083333,.96041667,1.0858333
210201,2021,.44999999,.45333332,.47749999,.58166671,.66666669,.69166666,.71666664,.82500005,.94999999
210201,2022,.49285713,.52142859,.57857144,.67142856,.70714283,.72857141,.8214286,.88571429,1.1214286
210204,1988,.34100002,.38349998,.38999999,.39999998,.41,.421,.4465,.47150001,.50650001
210204,1989,.39272726,.41181818,.42090908,.43545455,.44727272,.4609091,.46818182,.4909091,.52363634
210204,1990,.43583333,.47333333,.49000001,.4975,.5025,.51166666,.53166664,.55000001,.5625
210204,1991,.46333334,.51041663,.52791667,.52999997,.53708333,.54958332,.57333332,.59249997,.60250002
210204,1992,.43666667,.50833333,.54916668,.55416667,.55500001,.55791664,.58666664,.60250002,.62416667
210204,1993,.38999999,.48916668,.54250002,.56666666,.56999999,.56999999,.57791662,.61041665,.64333332
210204,1994,.38458332,.38999999,.42333332,.43666667,.48916668,.52333331,.55416667,.59416664,.63916665
210204,1995,.36249998,.38999999,.41,.44999999,.47708333,.49000001,.54416668,.62916666,.65083331
210204,1996,.38166666,.38999999,.41166666,.45166665,.48333335,.53500003,.63083333,.67250001,.73916668
210204,1997,.37833333,.38666666,.38999999,.4425,.47166666,.56333333,.64999998,.68833333,.83083332
210204,1998,.33583334,.34999999,.36416665,.38999999,.44999999,.47166666,.63249999,.72833335,.91999996
210204,1999,.315,.34916666,.34999999,.38999999,.44666666,.48666668,.65666664,.75999999,.96583331
210204,2000,.31916666,.34999999,.36833334,.38999999,.43249997,.49333334,.6558333,.77249998,.97750002
210204,2001,.29083332,.32083333,.38749999,.42916664,.47541666,.54333335,.71083331,.79500002,.97416669
210204,2002,.28,.31166667,.39999998,.465,.48833334,.60166669,.73000002,.86916667,.99000001
210204,2003,.27083334,.28833333,.35666668,.45958331,.56624997,.65833336,.7191667,.76333332,.88999999
210204,2004,.27000001,.27666667,.30541667,.41249999,.51875001,.61666667,.70083332,.80708337,.98083335
210204,2005,.27000001,.27000001,.27666667,.34166667,.46250001,.63708335,.69416666,.87333333,.98000002
210204,2006,.27000001,.27000001,.27416667,.29500002,.37291667,.57375002,.69,.83083332,.96249998
210204,2007,.29333335,.30583334,.31166667,.33666667,.38,.43958333,.63291663,.74333334,.95833331
210204,2008,.49666667,.51999998,.54833335,.57833332,.65250003,.73750001,.87916666,1.0283333,1.215
210204,2009,.54500002,.57166666,.58749998,.625,.6829167,.73333335,.8175,.91541666,1.09
210204,2010,.60833335,.64749998,.65833336,.66333336,.68333334,.72416663,.76333332,.86833334,1.1358334
210204,2011,.76583332,.78833336,.8125,.83833331,.85666668,.90083337,1.0004166,1.1216667,1.2095833
210204,2012,.80666667,.83958334,.89416665,.9325,.94083333,.96500003,1.1283333,1.2833333,1.535
210204,2013,.5,.83583331,.91166663,.94999999,.95333332,.98666668,1.0691667,1.3333333,1.5416666
210204,2014,.5,.89833331,.93333334,.94499999,.97416669,.99416667,1.0616666,1.3283333,1.6025
210204,2015,.53749996,.64666665,.74666667,.85666668,.93291664,.99000001,1.0525,1.3825001,1.515
210204,2016,.57666665,.58999997,.66083336,.82000005,.86250001,.91583335,1.0233333,1.1895833,1.4983333
210204,2017,.55000001,.56791663,.60916668,.80000001,.84500003,.86666667,.92333335,1.0658333,1.2741666
210204,2018,.46666667,.53583336,.55833334,.59250003,.63999999,.82916665,.91624999,1.1083333,1.3391666
210204,2019,.5,.52249998,.55083334,.565,.59833336,.77666664,.93583333,1.0699999,1.4
210204,2020,.50916666,.52249998,.55583334,.61166668,.63958335,.91916668,1.0975,1.1475,1.405
210204,2021,.50166667,.52916664,.56666666,.58583331,.62541664,.79541665,1.0208334,1.3291667,1.4675
210204,2022,.70499998,.73571426,.75,.76428574,.87142855,1.0785714,1.2285714,1.4285715,1.8142858
210301,1988,.183,.20199999,.22400001,.226,.227,.23,.23800001,.257,.30250001
210301,1989,.20045455,.20772727,.23,.23636363,.23727272,.2390909,.25272727,.27772728,.33181819
210301,1990,.22166666,.23083334,.24083333,.24916667,.25166667,.25333333,.26333332,.28874999,.345
210301,1991,.24666667,.24833333,.25749999,.27333334,.27666667,.27666667,.27916667,.29166666,.34916666
210301,1992,.25166667,.26333332,.27500001,.27833334,.28583333,.28833333,.28833333,.29583335,.3425
210301,1993,.24916667,.26333332,.28,.29416668,.30416667,.30500001,.30500001,.30666667,.35083333
210301,1994,.24166666,.27583334,.28916666,.30666667,.31583333,.3175,.3175,.32583335,.38249999
210301,1995,.24916667,.28666666,.29916668,.31,.31999999,.31999999,.31999999,.33083335,.40916666
210301,1996,.23666666,.27500001,.30875,.31416667,.31999999,.31999999,.31999999,.35166666,.56666666
210301,1997,.23833333,.25,.30916667,.32083333,.33333334,.33666667,.3475,.39291668,.57999998
210301,1998,.24625,.26166669,.31333333,.32333332,.32499999,.32583335,.34,.34999999,.39833334
210301,1999,.24166666,.28833333,.31999999,.32916668,.33166668,.34541667,.36583334,.38958332,.48541668
210301,2000,.24333332,.28999999,.32500002,.33000001,.33000001,.33500001,.35999998,.39875001,.50999999
210301,2001,.25916666,.29666665,.33416668,.34416667,.345,.345,.36583334,.38041666,.47583333
210301,2002,.25583333,.30500001,.34666666,.35083333,.35750002,.37416667,.39416665,.40000001,.54583335
210301,2003,.26291668,.29666665,.36166668,.36916667,.38416666,.38833332,.40833333,.47333333,.58916664
210301,2004,.23999999,.25958332,.34375,.37166667,.38666666,.38999999,.40333331,.44,.58458334
210301,2005,.20583333,.22,.29999998,.34333333,.3775,.38833332,.38999999,.41249999,.55083334
210301,2006,.18000001,.18083334,.19666667,.30833334,.38749999,.39166665,.41083333,.43083334,.52166665
210301,2007,.185,.1875,.28166667,.41499999,.42833334,.43666667,.46083334,.52749997,.62416667
210301,2008,.28,.285,.45083335,.49666667,.51083332,.53000003,.5575,.59166664,.71333337
210301,2009,.25999999,.25999999,.42833334,.53208333,.59625,.63583332,.66750002,.72000003,.76666665
210301,2010,.25999999,.38833332,.61333334,.64083332,.67916667,.71666664,.745,.83333337,.86374998
210301,2011,.29500002,.53041667,.73916668,.74083334,.82166666,.88,.92416668,.97291666,1.01
210301,2012,.33000001,.45208335,.8433333,.86166668,.90166664,.9666667,.97333336,1.04125,1.0675
210301,2013,.37541667,.46791667,.88999999,.88999999,.93583333,.97500002,.995,1.0233333,1.0549999
210301,2014,.36916667,.55124998,.88999999,.88999999,.9375,.97916669,1.0216666,1.0475,1.0833334
210301,2015,.27166668,.42541668,.88833332,.88999999,.89749998,.94125003,.96999997,1.015,1.0983334
210301,2016,.27000001,.43875,.88166666,.90166664,.92416668,.96749997,1.0220833,1.09,1.09
210301,2017,.35999998,.44708335,.67250001,.80916667,.92916667,.96000004,.9975,1.1166667,1.1366667
210301,2018,.37916666,.44999999,.56583333,.79000002,.95625001,.97666669,1,1.075,1.15
210301,2019,.39583334,.41666669,.57416666,.89916664,.99583334,1.0125,1.1675,1.2308334,1.3441666
210301,2020,.39583334,.48333335,.85750002,1,1.0079167,1.0650001,1.1925001,1.3075,1.4
210301,2021,.39083332,.39583334,.65833336,.94583333,1.0854167,1.1841667,1.2066667,1.3375,1.4083333
210301,2022,.38999999,.42142856,.55000001,.8164286,1.1121429,1.3328571,1.4142857,1.4428571,1.5428572
210302,1988,.2595,.28600001,.29100001,.296,.30599999,.32500002,.34200001,.36899999,.38999999
210302,1989,.25181818,.30000001,.30818182,.31,.31727272,.32863638,.34727272,.37227273,.38818181
210302,1990,.26666665,.31666666,.33333334,.33916667,.34166667,.34833333,.36750001,.38499999,.4075
210302,1991,.30583334,.32624999,.36666667,.37,.37,.3725,.38833332,.41749999,.44291666
210302,1992,.29833335,.32833335,.35416669,.37,.38833332,.38916665,.39166665,.41916665,.46416667
210302,1993,.31,.32916668,.36333334,.38083333,.39499998,.39833331,.41249999,.41833332,.47833332
210302,1994,.31,.32750002,.38083333,.40333334,.4075,.41083333,.42583334,.45166665,.51666665
210302,1995,.30166668,.32958335,.36750001,.405,.41666669,.42250001,.44083333,.47416666,.53916669
210302,1996,.32583335,.35624999,.41083333,.4325,.43916667,.44999999,.465,.50875002,.56166667
210302,1997,.33166668,.35833332,.44833332,.44999999,.44999999,.46166667,.48750001,.53041667,.60708332
210302,1998,.3425,.36833334,.43583333,.44999999,.45333332,.45916665,.48416665,.54333335,.58166665
210302,1999,.35083333,.38249999,.41499999,.43916667,.45583335,.47166666,.495,.55000001,.58416665
210302,2000,.35583335,.38999999,.38999999,.41583332,.44999999,.46583334,.51166666,.55000001,.60916668
210302,2001,.36416668,.39750001,.40666667,.42958331,.47333333,.5,.54416668,.57416666,.65666664
210302,2002,.38374999,.40208334,.42791668,.45916668,.49000001,.52958333,.55166668,.62083334,.6825
210302,2003,.39041665,.43333334,.44874999,.47291666,.49458334,.55250001,.58083332,.63583332,.69166666
210302,2004,.38958332,.44,.44083333,.44666666,.48541668,.53291667,.57166666,.61833334,.69
210302,2005,.39249998,.44083333,.44916666,.46666667,.48625001,.51208335,.58249998,.62041664,.68916667
210302,2006,.42333332,.45333332,.46666667,.48833334,.50583333,.565,.58999997,.6275,.73166668
210302,2007,.4375,.48666668,.49583334,.51083332,.56124997,.59083331,.61166668,.64708334,.72249997
210302,2008,.46791667,.52499998,.6008333,.61833334,.64375001,.67666668,.69541669,.74708337,.83666664
210302,2009,.49666667,.54458332,.59791666,.61666667,.65958333,.69,.70416665,.75833333,.83083332
