itemname,price,p,group,newdate
Microwave,10,149.95,2,1988-02-01
Microwave,1020,19.949997,2,1988-02-01
Microwave,2030,10.090012,2,1988-02-01
Microwave,3040,9.9599915,2,1988-02-01
Microwave,4050,10,2,1988-02-01
Microwave,5060,.040008545,2,1988-02-01
Microwave,6070,20,2,1988-02-01
Microwave,7080,10,2,1988-02-01
Microwave,8090,10,2,1988-02-01
Microwave,10,149.95,2,1988-03-01
Microwave,1020,10.040009,2,1988-03-01
Microwave,2030,19.959991,2,1988-03-01
Microwave,3040,9.0500031,2,1988-03-01
Microwave,4050,10.949997,2,1988-03-01
Microwave,5060,.040008545,2,1988-03-01
Microwave,6070,20,2,1988-03-01
Microwave,7080,10,2,1988-03-01
Microwave,8090,10,2,1988-03-01
Microwave,10,139.99001,2,1988-04-01
Microwave,1020,24.959991,2,1988-04-01
Microwave,2030,15,2,1988-04-01
Microwave,3040,9.0500031,2,1988-04-01
Microwave,4050,10.990005,2,1988-04-01
Microwave,5060,0,2,1988-04-01
Microwave,6070,20,2,1988-04-01
Microwave,7080,10,2,1988-04-01
Microwave,8090,20,2,1988-04-01
Microwave,10,139.99001,2,1988-05-01
Microwave,1020,10,2,1988-05-01
Microwave,2030,22,2,1988-05-01
Microwave,3040,8,2,1988-05-01
Microwave,4050,20,2,1988-05-01
Microwave,5060,0,2,1988-05-01
Microwave,6070,20,2,1988-05-01
Microwave,7080,10,2,1988-05-01
Microwave,8090,20,2,1988-05-01
Microwave,10,139.95,2,1988-06-01
Microwave,1020,10.040009,2,1988-06-01
Microwave,2030,20,2,1988-06-01
Microwave,3040,10,2,1988-06-01
Microwave,4050,19.959991,2,1988-06-01
Microwave,5060,.040008545,2,1988-06-01
Microwave,6070,20,2,1988-06-01
Microwave,7080,10,2,1988-06-01
Microwave,8090,20,2,1988-06-01
Microwave,10,129.99001,2,1988-07-01
Microwave,1020,19.959991,2,1988-07-01
Microwave,2030,10.040009,2,1988-07-01
Microwave,3040,10,2,1988-07-01
Microwave,4050,12.87999,2,1988-07-01
Microwave,5060,17.12001,2,1988-07-01
Microwave,6070,14.009995,2,1988-07-01
Microwave,7080,15.990005,2,1988-07-01
Microwave,8090,14.909988,2,1988-07-01
Microwave,10,119.99,2,1988-09-01
Microwave,1020,29.959999,2,1988-09-01
Microwave,2030,10.040009,2,1988-09-01
Microwave,3040,19.009995,2,1988-09-01
Microwave,4050,13.490005,2,1988-09-01
Microwave,5060,7.5,2,1988-09-01
Microwave,6070,20,2,1988-09-01
Microwave,7080,10,2,1988-09-01
Microwave,8090,20,2,1988-09-01
Microwave,10,129.99001,2,1988-10-01
Microwave,1020,19.959991,2,1988-10-01
Microwave,2030,.040008545,2,1988-10-01
Microwave,3040,29.959991,2,1988-10-01
Microwave,4050,10.040009,2,1988-10-01
Microwave,5060,10,2,1988-10-01
Microwave,6070,19.009995,2,1988-10-01
Microwave,7080,10.990005,2,1988-10-01
Microwave,8090,21,2,1988-10-01
Microwave,10,119.99,2,1988-11-01
Microwave,1020,30.000008,2,1988-11-01
Microwave,2030,15,2,1988-11-01
Microwave,3040,15,2,1988-11-01
Microwave,4050,19.009995,2,1988-11-01
Microwave,5060,.99000549,2,1988-11-01
Microwave,6070,20,2,1988-11-01
Microwave,7080,10,2,1988-11-01
Microwave,8090,20,2,1988-11-01
Microwave,10,119.99,2,1988-12-01
Microwave,1020,30.000008,2,1988-12-01
Microwave,2030,10,2,1988-12-01
Microwave,3040,19.959991,2,1988-12-01
Microwave,4050,18.540009,2,1988-12-01
Microwave,5060,1.5,2,1988-12-01
Microwave,6070,14.009995,2,1988-12-01
Microwave,7080,15.990005,2,1988-12-01
Microwave,8090,20,2,1988-12-01
Microwave,10,119.85,2,1989-01-01
Microwave,1020,17.620003,2,1989-01-01
Microwave,2030,12.520004,2,1989-01-01
Microwave,3040,20,2,1989-01-01
Microwave,4050,10,2,1989-01-01
Microwave,5060,19.934982,2,1989-01-01
Microwave,6070,.0650177,2,1989-01-01
Microwave,7080,30,2,1989-01-01
Microwave,8090,14.979996,2,1989-01-01
Microwave,10,119.95,2,1989-03-01
Microwave,1020,20.040009,2,1989-03-01
Microwave,2030,14.959991,2,1989-03-01
Microwave,3040,15.040009,2,1989-03-01
Microwave,4050,10,2,1989-03-01
Microwave,5060,20,2,1989-03-01
Microwave,6070,19.009995,2,1989-03-01
Microwave,7080,10.990005,2,1989-03-01
Microwave,8090,19.009995,2,1989-03-01
Microwave,10,119.99,2,1989-05-01
Microwave,1020,15.000008,2,1989-05-01
Microwave,2030,15,2,1989-05-01
Microwave,3040,20,2,1989-05-01
Microwave,4050,8.4850006,2,1989-05-01
Microwave,5060,16.514999,2,1989-05-01
Microwave,6070,5,2,1989-05-01
Microwave,7080,30,2,1989-05-01
Microwave,8090,10,2,1989-05-01
Microwave,10,109.99,2,1989-06-01
Microwave,1020,20.000008,2,1989-06-01
Microwave,2030,30,2,1989-06-01
Microwave,3040,10,2,1989-06-01
Microwave,4050,10,2,1989-06-01
Microwave,5060,19.909988,2,1989-06-01
Microwave,6070,10.090012,2,1989-06-01
Microwave,7080,20,2,1989-06-01
Microwave,8090,16,2,1989-06-01
Microwave,10,109.99,2,1989-07-01
Microwave,1020,20.000008,2,1989-07-01
Microwave,2030,20,2,1989-07-01
Microwave,3040,19.959991,2,1989-07-01
Microwave,4050,9.5,2,1989-07-01
Microwave,5060,19.540009,2,1989-07-01
Microwave,6070,1,2,1989-07-01
Microwave,7080,30,2,1989-07-01
Microwave,8090,20,2,1989-07-01
Microwave,10,109.99,2,1989-08-01
Microwave,1020,24.959999,2,1989-08-01
Microwave,2030,15,2,1989-08-01
Microwave,3040,10.040009,2,1989-08-01
Microwave,4050,11.00499,2,1989-08-01
Microwave,5060,18.99501,2,1989-08-01
Microwave,6070,10,2,1989-08-01
Microwave,7080,30,2,1989-08-01
Microwave,8090,10,2,1989-08-01
Microwave,10,109.99,2,1989-09-01
Microwave,1020,29.010002,2,1989-09-01
Microwave,2030,10.990005,2,1989-09-01
Microwave,3040,19.009995,2,1989-09-01
