quote_date,item_id,p10,p20,p30,p40,p50,p60,p70,p80,p90,keep,description,name5,date
199002,220107,1.7333333,1.9791666,2.1083333,2.2874999,2.4854167,2.7125001,2.8708334,3.1458333,3.5083332,1,PUB -HOT MEAL,A. Pub Meal,25
199003,220107,1.5666667,1.8416667,1.9916667,2.1416667,2.3583333,2.5916667,2.7750001,3.1166668,3.5875001,1,PUB -HOT MEAL,A. Pub Meal,26
199004,220107,1.4958334,1.85,1.9833333,2.2375,2.425,2.6208334,2.875,3.1583333,3.5975001,1,PUB -HOT MEAL,A. Pub Meal,27
199005,220107,1.5479167,1.8666667,2.0062499,2.3354168,2.4916666,2.6854167,2.9416666,3.2079167,3.6395833,1,PUB -HOT MEAL,A. Pub Meal,28
199006,220107,1.5458333,1.8354167,2.03125,2.2979167,2.4749999,2.6395833,2.9583333,3.2354167,3.6470833,1,PUB -HOT MEAL,A. Pub Meal,29
199007,220107,1.5041666,1.8479166,2.0729167,2.2437501,2.4833333,2.6604166,2.875,3.2095833,3.4541667,1,PUB -HOT MEAL,A. Pub Meal,30
199008,220107,1.5270833,1.8645834,2.1187501,2.2458334,2.5250001,2.66875,2.8812499,3.1979167,3.4749999,1,PUB -HOT MEAL,A. Pub Meal,31
199009,220107,1.5833333,1.8854167,2.1220834,2.3062501,2.4916668,2.65625,2.8583333,3.1604166,3.4770832,1,PUB -HOT MEAL,A. Pub Meal,32
199010,220107,1.5916667,1.9541667,2.1666667,2.3104167,2.5270834,2.7120833,2.9520833,3.2416668,3.55,1,PUB -HOT MEAL,A. Pub Meal,33
199011,220107,1.5791667,1.9125,2.1812501,2.3875,2.5875001,2.7208333,2.9749999,3.2666667,3.5841668,1,PUB -HOT MEAL,A. Pub Meal,34
199012,220107,1.4625,1.9270834,2.1541667,2.3520834,2.5374999,2.7395833,2.9958334,3.2437501,3.5841668,1,PUB -HOT MEAL,A. Pub Meal,35
199101,220107,1.6458333,2.0541666,2.2458334,2.4729166,2.6291666,2.8062501,3.0395834,3.29,3.6229167,1,PUB -HOT MEAL,A. Pub Meal,36
199102,220107,1.7270833,2.0562501,2.2541666,2.4708333,2.6395833,2.7916667,3.0416667,3.2637501,3.5770833,1,PUB -HOT MEAL,A. Pub Meal,37
199103,220107,1.7229166,2.0520833,2.2874999,2.45625,2.6208334,2.8499999,3.1500001,3.3291667,3.7020833,1,PUB -HOT MEAL,A. Pub Meal,38
199104,220107,1.8041667,2.1637499,2.3479166,2.5395832,2.8062501,2.9291666,3.1845834,3.4604166,3.79375,1,PUB -HOT MEAL,A. Pub Meal,39
199105,220107,1.85,2.1937499,2.3941667,2.5729167,2.7874999,2.9645834,3.1791668,3.4708333,3.8491666,1,PUB -HOT MEAL,A. Pub Meal,40
199106,220107,1.8166666,2.1733334,2.415,2.5583334,2.8499999,3,3.2125001,3.4645834,3.8166666,1,PUB -HOT MEAL,A. Pub Meal,41
199107,220107,1.8666667,2.1708333,2.4291668,2.7125001,2.9000001,3.0370834,3.2479167,3.4979167,3.8916667,1,PUB -HOT MEAL,A. Pub Meal,42
199108,220107,1.8458333,2.1916666,2.4604168,2.7083333,2.925,3.1020834,3.2854166,3.5104167,3.99125,1,PUB -HOT MEAL,A. Pub Meal,43
199109,220107,1.8833333,2.2041667,2.4375,2.6520834,2.8625,3.0666666,3.3075001,3.5104167,3.8616667,1,PUB -HOT MEAL,A. Pub Meal,44
199110,220107,1.8916667,2.2020833,2.48125,2.7166667,2.90625,3.0875001,3.2979167,3.5208333,3.865,1,PUB -HOT MEAL,A. Pub Meal,45
199111,220107,1.9020833,2.2125001,2.5041666,2.7016666,2.8895833,3.1041667,3.3125,3.5666666,3.9075,1,PUB -HOT MEAL,A. Pub Meal,46
199112,220107,1.9729166,2.2333333,2.5166667,2.6929166,2.9333334,3.1395833,3.3187499,3.5999999,3.9458332,1,PUB -HOT MEAL,A. Pub Meal,47
199201,220107,1.95,2.2520833,2.4958334,2.7229166,2.9166667,3.1500001,3.3291667,3.64375,3.9000001,1,PUB -HOT MEAL,A. Pub Meal,48
199202,220107,1.9558333,2.3041666,2.5687499,2.7808332,2.96875,3.1458333,3.3833334,3.6500001,3.9179168,1,PUB -HOT MEAL,A. Pub Meal,49
199203,220107,1.93125,2.3187499,2.5729167,2.79375,2.9791667,3.1916666,3.3645833,3.6520834,3.8895833,1,PUB -HOT MEAL,A. Pub Meal,50
199204,220107,2.0083334,2.3395834,2.6125,2.8395834,3.0229168,3.2020833,3.4375,3.7083333,4.0145831,1,PUB -HOT MEAL,A. Pub Meal,51
199205,220107,1.99375,2.3791666,2.6416667,2.8704166,3.03125,3.2229166,3.4937501,3.7308333,4.0916667,1,PUB -HOT MEAL,A. Pub Meal,52
