price,date,number,year
.69,1,1,1988
.69999999,1,1,1988
.69999999,1,2,1988
.70999998,1,1,1988
.70999998,1,2,1988
.72000003,1,1,1988
.72000003,1,2,1988
.72000003,1,3,1988
.73000002,1,1,1988
.73000002,1,2,1988
.74000001,1,1,1988
.74000001,1,2,1988
.74000001,1,3,1988
.74000001,1,4,1988
.75,1,1,1988
.75,1,2,1988
.75,1,3,1988
.75999999,1,1,1988
.75999999,1,2,1988
.75999999,1,3,1988
.75999999,1,4,1988
.75999999,1,5,1988
.75999999,1,6,1988
.75999999,1,7,1988
.75999999,1,8,1988
.75999999,1,9,1988
.76999998,1,1,1988
.76999998,1,2,1988
.76999998,1,3,1988
.76999998,1,4,1988
.76999998,1,5,1988
.76999998,1,6,1988
.76999998,1,7,1988
.76999998,1,8,1988
.76999998,1,9,1988
.76999998,1,10,1988
.76999998,1,11,1988
.76999998,1,12,1988
.77999997,1,1,1988
.77999997,1,2,1988
.77999997,1,3,1988
.77999997,1,4,1988
.77999997,1,5,1988
.77999997,1,6,1988
.77999997,1,7,1988
.77999997,1,8,1988
.77999997,1,9,1988
.77999997,1,10,1988
.77999997,1,11,1988
.77999997,1,12,1988
.77999997,1,13,1988
.77999997,1,14,1988
.77999997,1,15,1988
.77999997,1,16,1988
.77999997,1,17,1988
.79000002,1,1,1988
.79000002,1,2,1988
.79000002,1,3,1988
.79000002,1,4,1988
.79000002,1,5,1988
.79000002,1,6,1988
.79000002,1,7,1988
.79000002,1,8,1988
.79000002,1,9,1988
.79000002,1,10,1988
.80000001,1,1,1988
.80000001,1,2,1988
.80000001,1,3,1988
.80000001,1,4,1988
.80000001,1,5,1988
.80000001,1,6,1988
.80000001,1,7,1988
.80000001,1,8,1988
.80000001,1,9,1988
.80000001,1,10,1988
.80000001,1,11,1988
.80000001,1,12,1988
.80000001,1,13,1988
.80000001,1,14,1988
.80000001,1,15,1988
.80000001,1,16,1988
.80000001,1,17,1988
.80000001,1,18,1988
.80000001,1,19,1988
.80000001,1,20,1988
.80000001,1,21,1988
.80000001,1,22,1988
.80000001,1,23,1988
.80000001,1,24,1988
.80000001,1,25,1988
.80000001,1,26,1988
.80000001,1,27,1988
.80000001,1,28,1988
.80000001,1,29,1988
.80000001,1,30,1988
.80000001,1,31,1988
.80000001,1,32,1988
.81,1,1,1988
.81,1,2,1988
.81,1,3,1988
.81,1,4,1988
.81,1,5,1988
.81,1,6,1988
.81,1,7,1988
.81,1,8,1988
.81,1,9,1988
.81,1,10,1988
.81999999,1,1,1988
.81999999,1,2,1988
.81999999,1,3,1988
.81999999,1,4,1988
.81999999,1,5,1988
.81999999,1,6,1988
.81999999,1,7,1988
.81999999,1,8,1988
.81999999,1,9,1988
.81999999,1,10,1988
.81999999,1,11,1988
.81999999,1,12,1988
.81999999,1,13,1988
