itemname,price,p,group,newdate
Lettuce,10,.68000001,1,1988-02-01
Lettuce,1020,.0099999905,1,1988-02-01
Lettuce,2030,0,1,1988-02-01
Lettuce,3040,.030000031,1,1988-02-01
Lettuce,4050,.029999971,1,1988-02-01
Lettuce,5060,.050000012,1,1988-02-01
Lettuce,6070,.050000012,1,1988-02-01
Lettuce,7080,.049999952,1,1988-02-01
Lettuce,8090,.090000033,1,1988-02-01
Cigarettes,10,1.39,1,1988-02-01
Cigarettes,1020,0,1,1988-02-01
Cigarettes,2030,.0099999905,1,1988-02-01
Cigarettes,3040,.029999971,1,1988-02-01
Cigarettes,4050,.0200001,1,1988-02-01
Cigarettes,5060,.039999962,1,1988-02-01
Cigarettes,6070,.039999962,1,1988-02-01
Cigarettes,7080,.019999981,1,1988-02-01
Cigarettes,8090,0,1,1988-02-01
Men's socks,10,.99000001,1,1988-02-01
Men's socks,1020,.36000001,1,1988-02-01
Men's socks,2030,.14999998,1,1988-02-01
Men's socks,3040,.20000005,1,1988-02-01
Men's socks,4050,.25,1,1988-02-01
Men's socks,5060,.039999962,1,1988-02-01
Men's socks,6070,.50999999,1,1988-02-01
Men's socks,7080,.49000001,1,1988-02-01
Men's socks,8090,.41000009,1,1988-02-01
Lettuce,10,.64999998,1,1988-03-01
Lettuce,1020,.040000021,1,1988-03-01
Lettuce,2030,.060000002,1,1988-03-01
Lettuce,3040,.029999971,1,1988-03-01
Lettuce,4050,.020000041,1,1988-03-01
Lettuce,5060,.050000012,1,1988-03-01
Lettuce,6070,0,1,1988-03-01
Lettuce,7080,.039999962,1,1988-03-01
Lettuce,8090,.0099999905,1,1988-03-01
Cigarettes,10,1.39,1,1988-03-01
Cigarettes,1020,.0099999905,1,1988-03-01
Cigarettes,2030,0,1,1988-03-01
Cigarettes,3040,.029999971,1,1988-03-01
Cigarettes,4050,.0200001,1,1988-03-01
Cigarettes,5060,.039999962,1,1988-03-01
Cigarettes,6070,.039999962,1,1988-03-01
Cigarettes,7080,.019999981,1,1988-03-01
Cigarettes,8090,0,1,1988-03-01
Men's socks,10,.99000001,1,1988-03-01
Men's socks,1020,.36000001,1,1988-03-01
Men's socks,2030,.14999998,1,1988-03-01
Men's socks,3040,.25,1,1988-03-01
Men's socks,4050,.22000003,1,1988-03-01
Men's socks,5060,.019999981,1,1988-03-01
Men's socks,6070,.50999999,1,1988-03-01
Men's socks,7080,.49000001,1,1988-03-01
Men's socks,8090,.25999999,1,1988-03-01
Lettuce,10,.58999997,1,1988-04-01
Lettuce,1020,.060000002,1,1988-04-01
Lettuce,2030,.040000021,1,1988-04-01
Lettuce,3040,.060000002,1,1988-04-01
Lettuce,4050,.060000002,1,1988-04-01
Lettuce,5060,.029999971,1,1988-04-01
Lettuce,6070,.050000012,1,1988-04-01
Lettuce,7080,0,1,1988-04-01
Lettuce,8090,0,1,1988-04-01
Cigarettes,10,1.41,1,1988-04-01
Cigarettes,1020,.0099999905,1,1988-04-01
Cigarettes,2030,.0099999905,1,1988-04-01
Cigarettes,3040,.01000011,1,1988-04-01
Cigarettes,4050,.039999962,1,1988-04-01
Cigarettes,5060,.039999962,1,1988-04-01
Cigarettes,6070,.039999962,1,1988-04-01
Cigarettes,7080,.0200001,1,1988-04-01
Cigarettes,8090,0,1,1988-04-01
Men's socks,10,.99000001,1,1988-04-01
Men's socks,1020,.29999995,1,1988-04-01
Men's socks,2030,.21000004,1,1988-04-01
Men's socks,3040,.25,1,1988-04-01
Men's socks,4050,.20000005,1,1988-04-01
Men's socks,5060,.039999962,1,1988-04-01
Men's socks,6070,.50999999,1,1988-04-01
Men's socks,7080,.49000001,1,1988-04-01
Men's socks,8090,.41000009,1,1988-04-01
Lettuce,10,.64999998,1,1988-05-01
Lettuce,1020,.050000012,1,1988-05-01
Lettuce,2030,.045000017,1,1988-05-01
Lettuce,3040,.024999976,1,1988-05-01
Lettuce,4050,.020000041,1,1988-05-01
Lettuce,5060,0,1,1988-05-01
Lettuce,6070,.060000002,1,1988-05-01
Lettuce,7080,.039999962,1,1988-05-01
Lettuce,8090,.034999967,1,1988-05-01
Cigarettes,10,1.42,1,1988-05-01
Cigarettes,1020,.0099999905,1,1988-05-01
Cigarettes,2030,0,1,1988-05-01
Cigarettes,3040,.0200001,1,1988-05-01
Cigarettes,4050,.029999971,1,1988-05-01
Cigarettes,5060,.039999962,1,1988-05-01
Cigarettes,6070,.039999962,1,1988-05-01
Cigarettes,7080,.0200001,1,1988-05-01
Cigarettes,8090,0,1,1988-05-01
Men's socks,10,.99000001,1,1988-05-01
Men's socks,1020,.36000001,1,1988-05-01
Men's socks,2030,.14999998,1,1988-05-01
